Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Gaussian Process,0.29046137060863897,0.004859894549867903,0.05359298591013044,0.48551406548852,0.9340097338284383
Linear Regression,0.2774017458209893,0.004949344787951855,0.05388319432050659,0.48721602007184955,0.9425661387945915
Polynomial Regression,0.2774017458209893,0.004949344787951855,0.05388319432050659,0.48721602007184955,0.9425661387945915
Support Vector Regression,0.49085016378643287,0.003487357011418802,0.04845694278358031,0.4932494371704561,0.7911998278846452
KNN,0.5268388433760294,0.0032408571302996415,0.03894653784217575,0.2451761495752511,0.7627248958542175
Multi Layer Perception,0.5221467805926483,0.0032729948172472182,0.04406244147476187,0.3654491268461725,0.7664973153204122
Random Forest,0.6955320246930199,0.002085414651874518,0.03169779576636376,0.21411319363108117,0.6118348201779343
Gradient Boosting,0.699059330258539,0.0020612548212698197,0.03183687020460638,0.2274575026673105,0.6082803980869054
AdaBoost,0.32791208234433067,0.004603380665614573,0.06388953144867597,0.7277739645850095,0.9090262486932484
Bagging,0.6920339464569352,0.002109374293605572,0.03173478810038013,0.21380276832986625,0.6153395134498929
Extra Trees,0.6885369141393889,0.0021333267714506937,0.03189308314970944,0.19503754374073667,0.6188233192856778
