Power,Scanning Speed,Layer Thickness,Spot Size,Porosity,Max Melt Pool Width,Max Melt Pool Depth
50,200,30,100,40.5,112.5,40
50,400,30,100,40.5,75,25
50,600,30,100,40.5,75,25
50,800,30,100,40.5,75,5
50,1000,30,100,40.5,75,5
50,1200,30,100,40.5,75,10
75,200,30,100,40.5,75,187.5
75,400,30,100,40.5,112.5,40
75,600,30,100,40.5,112.5,60
75,800,30,100,40.5,75,60
75,1000,30,100,40.5,75,37.5
75,1200,30,100,40.5,56.25,75
100,200,30,100,40.5,150,225
100,400,30,100,40.5,75,150
100,600,30,100,40.5,112.5,37.5
100,800,30,100,40.5,112.5,25
100,1000,30,100,40.5,75,37.5
100,1200,30,100,40.5,75,45
125,200,30,100,40.5,225,150
125,400,30,100,40.5,150,150
125,600,30,100,40.5,112.5,112.5
125,800,30,100,40.5,112.5,40
125,1000,30,100,40.5,112.5,15
125,1200,30,100,40.5,80,15
150,200,30,100,40.5,225,300
150,400,30,100,40.5,170,187.5
150,600,30,100,40.5,140,150
150,800,30,100,40.5,150,75
150,1000,30,100,40.5,112.5,60
150,1200,30,100,40.5,112.5,37.5
175,200,30,100,40.5,262.5,360
175,400,30,100,40.5,225,206.25
175,600,30,100,40.5,187.5,187.5
175,800,30,100,40.5,150,112.5
175,1000,30,100,40.5,131.25,75
175,1200,30,100,40.5,112.5,37.5
195,200,30,100,40.5,300,337.5
195,400,30,100,40.5,170,225
195,600,30,100,40.5,150,187.5
195,800,30,100,40.5,150,112.5
195,1000,30,100,40.5,112.5,93.75
195,1200,30,100,40.5,112.5,75
50,500,30,100,50,67,16
50,750,30,100,50,50,12
50,1000,30,100,50,47,10
50,1200,30,100,50,45,5
100,500,30,100,50,118,44
100,750,30,100,50,98,32
100,1000,30,100,50,75,24
100,1200,30,100,50,72,22
150,500,30,100,50,145,101
150,750,30,100,50,135,72
150,1000,30,100,50,115,53
150,1200,30,100,50,108,49
195,500,30,100,50,193,176
195,750,30,100,50,161,110
195,1000,30,100,50,130,81
195,1200,30,100,50,122,65
50,505,30,100,50,66.66,15.92
50,510,30,100,50,66.32,15.84
50,515,30,100,50,65.98,15.76
50,520,30,100,50,65.64,15.68
50,525,30,100,50,65.3,15.6
50,530,30,100,50,64.96,15.52
50,535,30,100,50,64.62,15.44
50,540,30,100,50,64.28,15.36
50,545,30,100,50,63.94,15.28
50,550,30,100,50,63.6,15.2
50,555,30,100,50,63.26,15.12
50,560,30,100,50,62.92,15.04
50,565,30,100,50,62.58,14.96
50,570,30,100,50,62.24,14.88
50,575,30,100,50,61.9,14.8
50,580,30,100,50,61.56,14.72
50,585,30,100,50,61.22,14.64
50,590,30,100,50,60.88,14.56
50,595,30,100,50,60.54,14.48
50,600,30,100,50,60.2,14.4
50,605,30,100,50,59.86,14.32
50,610,30,100,50,59.52,14.24
50,615,30,100,50,59.18,14.16
50,620,30,100,50,58.84,14.08
50,625,30,100,50,58.5,14
50,630,30,100,50,58.16,13.92
50,635,30,100,50,57.82,13.84
50,640,30,100,50,57.48,13.76
50,645,30,100,50,57.14,13.68
50,650,30,100,50,56.8,13.6
50,655,30,100,50,56.46,13.52
50,660,30,100,50,56.12,13.44
50,665,30,100,50,55.78,13.36
50,670,30,100,50,55.44,13.28
50,675,30,100,50,55.1,13.2
50,680,30,100,50,54.76,13.12
50,685,30,100,50,54.42,13.04
50,690,30,100,50,54.08,12.96
50,695,30,100,50,53.74,12.88
50,700,30,100,50,53.4,12.8
50,705,30,100,50,53.06,12.72
50,710,30,100,50,52.72,12.64
50,715,30,100,50,52.38,12.56
50,720,30,100,50,52.04,12.48
50,725,30,100,50,51.7,12.4
50,730,30,100,50,51.36,12.32
50,735,30,100,50,51.02,12.24
50,740,30,100,50,50.68,12.16
50,745,30,100,50,50.34,12.08
50,755,30,100,50,49.94,11.96
50,760,30,100,50,49.88,11.92
50,765,30,100,50,49.82,11.88
50,770,30,100,50,49.76,11.84
50,775,30,100,50,49.7,11.8
50,780,30,100,50,49.64,11.76
50,785,30,100,50,49.58,11.72
50,790,30,100,50,49.52,11.68
50,795,30,100,50,49.46,11.64
50,800,30,100,50,49.4,11.6
50,805,30,100,50,49.34,11.56
50,810,30,100,50,49.28,11.52
50,815,30,100,50,49.22,11.48
50,820,30,100,50,49.16,11.44
50,825,30,100,50,49.1,11.4
50,830,30,100,50,49.04,11.36
50,835,30,100,50,48.98,11.32
50,840,30,100,50,48.92,11.28
50,845,30,100,50,48.86,11.24
50,850,30,100,50,48.8,11.2
