Tool Rotational Speed (RPM),Translational Speed (mm/min),Axial Force (KN),Ultimate Tensile Trength (MPa)
1400.0,42.5,6.0,77.83
1250.0,48.75,6.0,82.5
1250.0,36.25,6.0,99.16
1250.0,48.75,6.0,102.16
1100.0,42.5,6.0,103.3
1250.0,36.25,6.0,105.33
950.0,48.75,6.0,106.16
1100.0,42.5,6.0,115.3
1100.0,30.0,6.0,119.16
950.0,36.25,6.0,120.0
1100.0,42.5,6.0,129.21
800.0,30.0,6.0,130.0
800.0,30.0,6.0,130.0
1100.0,42.5,6.0,130.12
1000.0,45.0,6.0,131.0
1454.71,1.648657467,1.86,133.23
1458.72,2.746457467,1.86,133.33
1470.08,5.860839221,1.88,133.61
1485.46,10.07302207,1.89,133.99
1500.83,14.28520383,1.91,134.38
1504.84,15.38300383,1.91,134.48
1512.2,17.39958558,1.92,134.66
1516.2,18.49738558,1.92,134.76
1520.21,19.59518558,1.93,134.86
800.0,90.0,6.0,135.0
800.0,90.0,6.0,135.0
800.0,42.5,6.0,135.16
1100.0,42.5,6.0,135.3
1538.25,24.53937928,1.94,135.31
1539.26,24.81565931,1.95,135.34
1100.0,42.5,6.0,135.8
1562.32,31.13393304,1.97,135.91
821.6,85.1,5.81,136.0
1570.01,33.24002391,1.98,136.1
1585.38,37.45220677,1.99,136.49
1100.0,55.0,6.0,136.8
1600.75,41.66438852,2.01,136.87
800.0,90.0,10.0,137.0
800.0,60.0,8.0,137.0
800.0,90.0,10.0,137.0
800.0,60.0,8.0,137.0
1610.95,44.45825,2.02,137.125
1618.96,46.65385,2.03,137.325
1620.97,47.20275,2.03,137.375
1622.97,47.75165,2.03,137.425
1623.81,47.98266225,2.03,137.45
1625.98,48.575,2.03,137.5
1626.98,48.84945,2.03,137.525
1627.98,49.1239,2.04,137.55
1628.92,49.38259218,2.04,137.5735646
1628.98,49.39835,2.04,137.575
1631.98,50.2217,2.04,137.65
1632.04,50.23614485,2.04,137.6513158
1633.91,50.74827624,2.04,137.6979665
1635.99,51.3195,2.04,137.75
1636.99,51.59395,2.04,137.775
1639.19,52.194844,2.05,137.83
1641.0,52.69175,2.05,137.875
1641.0,52.69175,2.05,137.875
1641.2,52.74664,2.05,137.88
1644.5,53.65035555,2.05,137.9623206
1645.74,53.99177684,2.05,137.9934211
1000.0,60.0,8.0,138.0
1000.0,60.0,8.0,138.0
1646.01,54.064,2.05,138.0
1646.87,54.30093488,2.05,138.02
1650.01,55.1618,2.06,138.1
1651.02,55.43625,2.06,138.125
950.0,36.25,6.0,138.16
1653.22,56.04030237,2.06,138.1800239
1654.02,56.2596,2.06,138.2
1654.62,56.42427,2.06,138.215
1655.02,56.53405,2.06,138.225
1655.02,56.53405,2.06,138.225
1655.42,56.64383,2.06,138.235
1655.82,56.75361,2.06,138.245
1656.22,56.86339,2.06,138.255
1656.63,56.97317,2.06,138.265
1657.43,57.19273,2.06,138.285
1658.03,57.3574,2.07,138.3
1659.03,57.63185,2.07,138.325
1659.45,57.74740772,2.07,138.3355263
1660.7,58.08882901,2.07,138.3666268
1661.03,58.18075,2.07,138.375
1662.03,58.4552,2.07,138.4
1663.04,58.72965,2.07,138.425
1665.04,59.27855,2.07,138.475
1666.04,59.553,2.07,138.5
1666.04,59.553,2.07,138.5
1669.05,60.37635,2.08,138.575
1669.93,60.61920861,2.08,138.6
1669.93,60.61920861,2.08,138.6
1670.04,60.64948703,2.08,138.5998804
1671.05,60.92525,2.08,138.625
1671.45,61.03503,2.08,138.635
1671.85,61.14481,2.08,138.645
1672.05,61.1997,2.08,138.65
1672.25,61.25459,2.08,138.655
1672.65,61.36437,2.08,138.665
1673.05,61.47415,2.08,138.675
1673.05,61.47415,2.08,138.675
1673.16,61.5030397,2.08,138.6776316
1673.45,61.58393,2.08,138.685
1673.94,61.71700861,2.08,138.7
1673.94,61.71700861,2.08,138.7
1675.03,62.01517109,2.08,138.7242823
1676.06,62.2975,2.08,138.75
1677.06,62.57195,2.08,138.775
1677.95,62.81480861,2.09,138.8
1678.66,63.01107,2.09,138.815
1679.06,63.12085,2.09,138.825
1679.46,63.23063,2.09,138.835
1679.86,63.34041,2.09,138.845
1680.06,63.3953,2.09,138.85
1680.26,63.45019,2.09,138.855
1681.07,63.66975,2.09,138.875
1681.07,63.66975,2.09,138.875
1685.31,64.83139036,2.09,138.98
1686.24,65.08796049,2.09,139.0041866
1686.86,65.25867059,2.09,139.0197368
1687.49,65.42938178,2.1,139.0352871
1690.08,66.1398,2.1,139.1
1691.08,66.41425,2.1,139.125
1691.48,66.52403,2.1,139.135
1691.88,66.63381,2.1,139.145
1692.28,66.74359,2.1,139.155
1692.68,66.85337,2.1,139.165
1693.09,66.96315,2.1,139.175
1694.09,67.2376,2.1,139.2
1694.3,67.29627192,2.1,139.21
1695.69,67.67672,2.1,139.24
1696.09,67.7865,2.1,139.25
1698.08,68.33146,2.11,139.2996411
1698.09,68.3354,2.11,139.3
1700.28,68.93379322,2.11,139.35
1700.57,69.01430257,2.11,139.3618421
1700.66,69.037992,2.11,139.364
1700.68,69.04357322,2.11,139.36
1700.97,69.12408257,2.11,139.3718421
1701.08,69.15335322,2.11,139.37
1701.1,69.15875,2.11,139.375
1701.82,69.35572386,2.11,139.3929426
1706.51,70.64078,2.11,139.51
1706.91,70.75056,2.11,139.52
1707.31,70.86034,2.12,139.53
1707.42,70.89211802,2.12,139.5328947
1707.71,70.97012,2.12,139.54
1710.71,71.79347,2.12,139.615
1711.12,71.90325,2.12,139.625
1711.52,72.01303,2.12,139.635
1716.05,73.25575497,2.12,139.75
1723.74,75.36184694,2.13,139.94
1724.14,75.47162694,2.13,139.95
1000.0,60.0,8.0,140.0
700.0,85.1,5.81,140.0
700.0,85.1,5.81,140.0
1000.0,60.0,8.0,140.0
1731.42,77.46793782,2.14,140.13
1731.42,77.46793782,2.14,140.13
1100.0,42.5,6.0,140.25
1739.11,79.5740287,2.15,140.32
1754.48,83.78621155,2.16,140.71
1755.29,84.00577155,2.16,140.73
1756.49,84.33511155,2.16,140.76
1758.49,84.88384798,2.17,140.81
1769.86,87.9983933,2.18,141.09
1777.54,90.10448418,2.19,141.28
1785.23,92.21057506,2.19,141.47
1792.92,94.31666703,2.2,141.67
1800.6,96.42275791,2.21,141.86
1000.0,60.0,8.0,142.0
1000.0,60.0,8.0,142.0
1815.98,100.6349397,2.22,142.24
1819.57,101.6204128,2.23,142.33
1831.35,104.8471225,2.24,142.63
1831.75,104.9569025,2.24,142.64
1832.15,105.0666825,2.24,142.65
1832.55,105.1764625,2.24,142.66
1400.0,45.0,6.0,143.0
1854.41,111.1653951,2.26,143.2
