Laser Power [W],Scanning Speed [mm/s],Layer Thickness [um],Spot Size [um],Porosity [%],Max Melt Pool Depth [um]
50,200,30,100,40.5,40
50,400,30,100,40.5,25
50,600,30,100,40.5,25
50,800,30,100,40.5,5
50,1000,30,100,40.5,5
50,1200,30,100,40.5,10
75,200,30,100,40.5,187.5
75,400,30,100,40.5,40
75,600,30,100,40.5,60
75,800,30,100,40.5,60
75,1000,30,100,40.5,37.5
75,1200,30,100,40.5,75
100,200,30,100,40.5,225
100,400,30,100,40.5,150
100,600,30,100,40.5,37.5
100,800,30,100,40.5,25
100,1000,30,100,40.5,37.5
100,1200,30,100,40.5,45
125,200,30,100,40.5,150
125,400,30,100,40.5,150
125,600,30,100,40.5,112.5
125,800,30,100,40.5,40
125,1000,30,100,40.5,15
125,1200,30,100,40.5,15
150,200,30,100,40.5,300
150,400,30,100,40.5,187.5
150,600,30,100,40.5,150
150,800,30,100,40.5,75
150,1000,30,100,40.5,60
150,1200,30,100,40.5,37.5
175,200,30,100,40.5,360
175,400,30,100,40.5,206.25
175,600,30,100,40.5,187.5
175,800,30,100,40.5,112.5
175,1000,30,100,40.5,75
175,1200,30,100,40.5,37.5
195,200,30,100,40.5,337.5
195,400,30,100,40.5,225
195,600,30,100,40.5,187.5
195,800,30,100,40.5,112.5
195,1000,30,100,40.5,93.75
195,1200,30,100,40.5,75
50,500,30,100,50,16
50,750,30,100,50,12
50,1000,30,100,50,10
50,1200,30,100,50,5
100,500,30,100,50,44
100,750,30,100,50,32
100,1000,30,100,50,24
100,1200,30,100,50,22
150,500,30,100,50,101
150,750,30,100,50,72
150,1000,30,100,50,53
150,1200,30,100,50,49
195,500,30,100,50,176
195,750,30,100,50,110
195,1000,30,100,50,81
195,1200,30,100,50,65
50,505,30,100,50,15.92
50,510,30,100,50,15.84
50,515,30,100,50,15.76
50,520,30,100,50,15.68
50,525,30,100,50,15.6
50,530,30,100,50,15.52
50,535,30,100,50,15.44
50,540,30,100,50,15.36
50,545,30,100,50,15.28
50,550,30,100,50,15.2
50,555,30,100,50,15.12
50,560,30,100,50,15.04
50,565,30,100,50,14.96
50,570,30,100,50,14.88
50,575,30,100,50,14.8
50,580,30,100,50,14.72
50,585,30,100,50,14.64
50,590,30,100,50,14.56
50,595,30,100,50,14.48
50,600,30,100,50,14.4
50,605,30,100,50,14.32
50,610,30,100,50,14.24
50,615,30,100,50,14.16
50,620,30,100,50,14.08
50,625,30,100,50,14
50,630,30,100,50,13.92
50,635,30,100,50,13.84
50,640,30,100,50,13.76
50,645,30,100,50,13.68
50,650,30,100,50,13.6
50,655,30,100,50,13.52
50,660,30,100,50,13.44
50,665,30,100,50,13.36
50,670,30,100,50,13.28
50,675,30,100,50,13.2
50,680,30,100,50,13.12
50,685,30,100,50,13.04
50,690,30,100,50,12.96
50,695,30,100,50,12.88
50,700,30,100,50,12.8
50,705,30,100,50,12.72
50,710,30,100,50,12.64
50,715,30,100,50,12.56
50,720,30,100,50,12.48
50,725,30,100,50,12.4
50,730,30,100,50,12.32
50,735,30,100,50,12.24
50,740,30,100,50,12.16
50,745,30,100,50,12.08
50,755,30,100,50,11.96
50,760,30,100,50,11.92
50,765,30,100,50,11.88
50,770,30,100,50,11.84
50,775,30,100,50,11.8
50,780,30,100,50,11.76
50,785,30,100,50,11.72
50,790,30,100,50,11.68
50,795,30,100,50,11.64
50,800,30,100,50,11.6
50,805,30,100,50,11.56
50,810,30,100,50,11.52
50,815,30,100,50,11.48
50,820,30,100,50,11.44
50,825,30,100,50,11.4
50,830,30,100,50,11.36
50,835,30,100,50,11.32
50,840,30,100,50,11.28
50,845,30,100,50,11.24
50,850,30,100,50,11.2
50,855,30,100,50,11.16
50,860,30,100,50,11.12
50,865,30,100,50,11.08
50,870,30,100,50,11.04
50,875,30,100,50,11
50,880,30,100,50,10.96
50,885,30,100,50,10.92
50,890,30,100,50,10.88
50,895,30,100,50,10.84
50,900,30,100,50,10.8
50,905,30,100,50,10.76
50,910,30,100,50,10.72
50,915,30,100,50,10.68
50,920,30,100,50,10.64
50,925,30,100,50,10.6
50,930,30,100,50,10.56
50,935,30,100,50,10.52
50,940,30,100,50,10.48
50,945,30,100,50,10.44
50,950,30,100,50,10.4
50,955,30,100,50,10.36
50,960,30,100,50,10.32
50,965,30,100,50,10.28
50,970,30,100,50,10.24
50,975,30,100,50,10.2
50,980,30,100,50,10.16
50,985,30,100,50,10.12
50,990,30,100,50,10.08
50,995,30,100,50,10.04
50,1005,30,100,50,9.875
50,1010,30,100,50,9.75
50,1015,30,100,50,9.625
50,1020,30,100,50,9.5
50,1025,30,100,50,9.375
50,1030,30,100,50,9.25
50,1035,30,100,50,9.125
50,1040,30,100,50,9
50,1045,30,100,50,8.875
50,1050,30,100,50,8.75
50,1055,30,100,50,8.625
50,1060,30,100,50,8.5
50,1065,30,100,50,8.375
50,1070,30,100,50,8.25
50,1075,30,100,50,8.125
50,1080,30,100,50,8
50,1085,30,100,50,7.875
50,1090,30,100,50,7.75
50,1095,30,100,50,7.625
50,1100,30,100,50,7.5
50,1105,30,100,50,7.375
50,1110,30,100,50,7.25
50,1115,30,100,50,7.125
50,1120,30,100,50,7
50,1125,30,100,50,6.875
50,1130,30,100,50,6.75
50,1135,30,100,50,6.625
50,1140,30,100,50,6.5
50,1145,30,100,50,6.375
50,1150,30,100,50,6.25
50,1155,30,100,50,6.125
50,1160,30,100,50,6
50,1165,30,100,50,5.875
50,1170,30,100,50,5.75
50,1175,30,100,50,5.625
50,1180,30,100,50,5.5
50,1185,30,100,50,5.375
50,1190,30,100,50,5.25
50,1195,30,100,50,5.125
100,505,30,100,50,43.76
100,510,30,100,50,43.52
100,515,30,100,50,43.28
100,520,30,100,50,43.04
100,525,30,100,50,42.8
100,530,30,100,50,42.56
100,535,30,100,50,42.32
100,540,30,100,50,42.08
100,545,30,100,50,41.84
100,550,30,100,50,41.6
100,555,30,100,50,41.36
100,560,30,100,50,41.12
100,565,30,100,50,40.88
100,570,30,100,50,40.64
100,575,30,100,50,40.4
100,580,30,100,50,40.16
100,585,30,100,50,39.92
100,590,30,100,50,39.68
100,595,30,100,50,39.44
100,600,30,100,50,39.2
100,605,30,100,50,38.96
100,610,30,100,50,38.72
100,615,30,100,50,38.48
100,620,30,100,50,38.24
100,625,30,100,50,38
100,630,30,100,50,37.76
100,635,30,100,50,37.52
100,640,30,100,50,37.28
100,645,30,100,50,37.04
100,650,30,100,50,36.8
100,655,30,100,50,36.56
100,660,30,100,50,36.32
100,665,30,100,50,36.08
100,670,30,100,50,35.84
100,675,30,100,50,35.6
100,680,30,100,50,35.36
100,685,30,100,50,35.12
100,690,30,100,50,34.88
100,695,30,100,50,34.64
100,700,30,100,50,34.4
100,705,30,100,50,34.16
100,710,30,100,50,33.92
100,715,30,100,50,33.68
100,720,30,100,50,33.44
100,725,30,100,50,33.2
100,730,30,100,50,32.96
100,735,30,100,50,32.72
100,740,30,100,50,32.48
100,745,30,100,50,32.24
100,755,30,100,50,31.84
100,760,30,100,50,31.68
100,765,30,100,50,31.52
100,770,30,100,50,31.36
100,775,30,100,50,31.2
100,780,30,100,50,31.04
100,785,30,100,50,30.88
100,790,30,100,50,30.72
100,795,30,100,50,30.56
100,800,30,100,50,30.4
100,805,30,100,50,30.24
100,810,30,100,50,30.08
100,815,30,100,50,29.92
100,820,30,100,50,29.76
100,825,30,100,50,29.6
100,830,30,100,50,29.44
100,835,30,100,50,29.28
100,840,30,100,50,29.12
100,845,30,100,50,28.96
100,850,30,100,50,28.8
100,855,30,100,50,28.64
100,860,30,100,50,28.48
100,865,30,100,50,28.32
100,870,30,100,50,28.16
100,875,30,100,50,28
100,880,30,100,50,27.84
100,885,30,100,50,27.68
100,890,30,100,50,27.52
100,895,30,100,50,27.36
100,900,30,100,50,27.2
100,905,30,100,50,27.04
100,910,30,100,50,26.88
100,915,30,100,50,26.72
100,920,30,100,50,26.56
100,925,30,100,50,26.4
100,930,30,100,50,26.24
100,935,30,100,50,26.08
100,940,30,100,50,25.92
100,945,30,100,50,25.76
100,950,30,100,50,25.6
100,955,30,100,50,25.44
100,960,30,100,50,25.28
100,965,30,100,50,25.12
100,970,30,100,50,24.96
100,975,30,100,50,24.8
100,980,30,100,50,24.64
100,985,30,100,50,24.48
100,990,30,100,50,24.32
100,995,30,100,50,24.16
100,1005,30,100,50,23.95
100,1010,30,100,50,23.9
100,1015,30,100,50,23.85
100,1020,30,100,50,23.8
100,1025,30,100,50,23.75
100,1030,30,100,50,23.7
100,1035,30,100,50,23.65
100,1040,30,100,50,23.6
100,1045,30,100,50,23.55
100,1050,30,100,50,23.5
100,1055,30,100,50,23.45
100,1060,30,100,50,23.4
100,1065,30,100,50,23.35
100,1070,30,100,50,23.3
100,1075,30,100,50,23.25
100,1080,30,100,50,23.2
100,1085,30,100,50,23.15
100,1090,30,100,50,23.1
100,1095,30,100,50,23.05
100,1100,30,100,50,23
