Laser Power [W],Scanning Speed [mm/s],Layer Thickness [um],Spot Size [um],Porosity [%],Max Melt Pool Width [um]
50,200,30,100,40.5,112.5
50,400,30,100,40.5,75
50,600,30,100,40.5,75
50,800,30,100,40.5,75
50,1000,30,100,40.5,75
50,1200,30,100,40.5,75
75,200,30,100,40.5,75
75,400,30,100,40.5,112.5
75,600,30,100,40.5,112.5
75,800,30,100,40.5,75
75,1000,30,100,40.5,75
75,1200,30,100,40.5,56.25
100,200,30,100,40.5,150
100,400,30,100,40.5,75
100,600,30,100,40.5,112.5
100,800,30,100,40.5,112.5
100,1000,30,100,40.5,75
100,1200,30,100,40.5,75
125,200,30,100,40.5,225
125,400,30,100,40.5,150
125,600,30,100,40.5,112.5
125,800,30,100,40.5,112.5
125,1000,30,100,40.5,112.5
125,1200,30,100,40.5,80
150,200,30,100,40.5,225
150,400,30,100,40.5,170
150,600,30,100,40.5,140
150,800,30,100,40.5,150
150,1000,30,100,40.5,112.5
150,1200,30,100,40.5,112.5
175,200,30,100,40.5,262.5
175,400,30,100,40.5,225
175,600,30,100,40.5,187.5
175,800,30,100,40.5,150
175,1000,30,100,40.5,131.25
175,1200,30,100,40.5,112.5
195,200,30,100,40.5,300
195,400,30,100,40.5,170
195,600,30,100,40.5,150
195,800,30,100,40.5,150
195,1000,30,100,40.5,112.5
195,1200,30,100,40.5,112.5
50,500,30,100,50,67
50,750,30,100,50,50
50,1000,30,100,50,47
50,1200,30,100,50,45
100,500,30,100,50,118
100,750,30,100,50,98
100,1000,30,100,50,75
100,1200,30,100,50,72
150,500,30,100,50,145
150,750,30,100,50,135
150,1000,30,100,50,115
150,1200,30,100,50,108
195,500,30,100,50,193
195,750,30,100,50,161
195,1000,30,100,50,130
195,1200,30,100,50,122
50,505,30,100,50,66.66
50,510,30,100,50,66.32
50,515,30,100,50,65.98
50,520,30,100,50,65.64
50,525,30,100,50,65.3
50,530,30,100,50,64.96
50,535,30,100,50,64.62
50,540,30,100,50,64.28
50,545,30,100,50,63.94
50,550,30,100,50,63.6
50,555,30,100,50,63.26
50,560,30,100,50,62.92
50,565,30,100,50,62.58
50,570,30,100,50,62.24
50,575,30,100,50,61.9
50,580,30,100,50,61.56
50,585,30,100,50,61.22
50,590,30,100,50,60.88
50,595,30,100,50,60.54
50,600,30,100,50,60.2
50,605,30,100,50,59.86
50,610,30,100,50,59.52
50,615,30,100,50,59.18
50,620,30,100,50,58.84
50,625,30,100,50,58.5
50,630,30,100,50,58.16
50,635,30,100,50,57.82
50,640,30,100,50,57.48
50,645,30,100,50,57.14
50,650,30,100,50,56.8
50,655,30,100,50,56.46
50,660,30,100,50,56.12
50,665,30,100,50,55.78
50,670,30,100,50,55.44
50,675,30,100,50,55.1
50,680,30,100,50,54.76
50,685,30,100,50,54.42
50,690,30,100,50,54.08
50,695,30,100,50,53.74
50,700,30,100,50,53.4
50,705,30,100,50,53.06
50,710,30,100,50,52.72
50,715,30,100,50,52.38
50,720,30,100,50,52.04
50,725,30,100,50,51.7
50,730,30,100,50,51.36
50,735,30,100,50,51.02
50,740,30,100,50,50.68
50,745,30,100,50,50.34
50,755,30,100,50,49.94
50,760,30,100,50,49.88
50,765,30,100,50,49.82
50,770,30,100,50,49.76
50,775,30,100,50,49.7
50,780,30,100,50,49.64
50,785,30,100,50,49.58
50,790,30,100,50,49.52
50,795,30,100,50,49.46
50,800,30,100,50,49.4
50,805,30,100,50,49.34
50,810,30,100,50,49.28
50,815,30,100,50,49.22
50,820,30,100,50,49.16
50,825,30,100,50,49.1
50,830,30,100,50,49.04
50,835,30,100,50,48.98
50,840,30,100,50,48.92
50,845,30,100,50,48.86
50,850,30,100,50,48.8
50,855,30,100,50,48.74
50,860,30,100,50,48.68
50,865,30,100,50,48.62
50,870,30,100,50,48.56
50,875,30,100,50,48.5
50,880,30,100,50,48.44
50,885,30,100,50,48.38
50,890,30,100,50,48.32
50,895,30,100,50,48.26
50,900,30,100,50,48.2
50,905,30,100,50,48.14
50,910,30,100,50,48.08
50,915,30,100,50,48.02
50,920,30,100,50,47.96
50,925,30,100,50,47.9
50,930,30,100,50,47.84
50,935,30,100,50,47.78
50,940,30,100,50,47.72
50,945,30,100,50,47.66
50,950,30,100,50,47.6
50,955,30,100,50,47.54
50,960,30,100,50,47.48
50,965,30,100,50,47.42
50,970,30,100,50,47.36
50,975,30,100,50,47.3
50,980,30,100,50,47.24
50,985,30,100,50,47.18
50,990,30,100,50,47.12
50,995,30,100,50,47.06
50,1005,30,100,50,46.95
50,1010,30,100,50,46.9
50,1015,30,100,50,46.85
50,1020,30,100,50,46.8
50,1025,30,100,50,46.75
50,1030,30,100,50,46.7
50,1035,30,100,50,46.65
50,1040,30,100,50,46.6
50,1045,30,100,50,46.55
50,1050,30,100,50,46.5
50,1055,30,100,50,46.45
50,1060,30,100,50,46.4
50,1065,30,100,50,46.35
50,1070,30,100,50,46.3
50,1075,30,100,50,46.25
50,1080,30,100,50,46.2
50,1085,30,100,50,46.15
50,1090,30,100,50,46.1
50,1095,30,100,50,46.05
50,1100,30,100,50,46
50,1105,30,100,50,45.95
50,1110,30,100,50,45.9
50,1115,30,100,50,45.85
50,1120,30,100,50,45.8
50,1125,30,100,50,45.75
50,1130,30,100,50,45.7
50,1135,30,100,50,45.65
50,1140,30,100,50,45.6
50,1145,30,100,50,45.55
