base_estimator,n_estimators,learning_rate,R-squared,MAE,MSE,RMSE,RAE,RRSE
,10,0.001,0.7799563745106093,0.03465854337403514,0.0037498719734108204,0.06123619822793394,0.3785900277674269,0.4628797719387747
,10,0.01,0.7742899164408632,0.034441916139042864,0.003888679042110159,0.06235927390621349,0.37622371623419754,0.4713690157010514
,10,0.1,0.7733749475210183,0.034849921219805964,0.003857770970044591,0.06211095692423834,0.38068052947035547,0.46949200649226036
,10,0.5,0.7987639768462407,0.03559932031768395,0.0034101749309447594,0.05839670308283473,0.38886653492975,0.44141624377700817
,10,1.0,0.7924737282585695,0.03597544736318381,0.0035002792145854555,0.059163157577883346,0.392975130812246,0.44720981509815716
,10,2.0,0.773284581344837,0.04234144109003284,0.0038544606793531897,0.06208430300287819,0.46251359109331475,0.4692905315248802
,10,10.0,-20.78990890522487,0.5525616033864529,0.37535335738796965,0.612660882860959,6.035865688631667,4.631057086184776
,30,0.001,0.7882896090413845,0.03346223168308764,0.003612490343571817,0.0601039960699105,0.3655222057471391,0.45432154180920714
,30,0.01,0.7823408441078961,0.03343781646486384,0.0037437343939703675,0.06118606372345232,0.3652555079218572,0.4625008090267674
,30,0.1,0.7819592170031665,0.03612778019441652,0.00373149524730011,0.06108596604212878,0.3946391271950106,0.46174417825537006
,30,0.5,0.807330862417764,0.03570452372791599,0.003268204914881637,0.05716821594978837,0.3900157165780132,0.4321302028334209
,30,1.0,0.7829685309390909,0.04068142784666866,0.0036758590626510905,0.060628863280215724,0.4443805595600171,0.45828897319186596
,30,2.0,0.736344738112707,0.04634043652486599,0.004486113051352344,0.06697845214210571,0.5061963211023753,0.5062850331914873
,30,10.0,-24.522211906356443,0.6380602352306329,0.4357345072957027,0.6601018916013669,6.969803651766456,4.989660068436673
,50,0.001,0.7958782505019506,0.032916268313101286,0.003492846071006305,0.059100305168470195,0.3595584153716331,0.4467347185086094
,50,0.01,0.772172293670077,0.03378579409604956,0.003897465459231268,0.06242968411926548,0.36905661576506044,0.4719012411543421
,50,0.1,0.8009530688960987,0.03566351190159754,0.003387662390882576,0.05820362867453004,0.38956772693525377,0.4399568089873004
,50,0.5,0.7945004895023801,0.0384623120843715,0.0034758263366672245,0.05895613909227117,0.4201402131322843,0.4456449780870384
,50,1.0,0.7502864388646696,0.044499623545828634,0.004238479475668089,0.06510360570404752,0.4860883370671752,0.4921132113478392
,50,2.0,0.7368946295338469,0.04662000580788197,0.004487468335294206,0.06698856869118944,0.5092501754284989,0.5063615034177291
,50,10.0,-26.663917148437548,0.6743538436801362,0.47155208157883405,0.6866964988834835,7.366254191605685,5.19068668520551
,100,0.001,0.7921514440345849,0.03277892413437008,0.003544960877725241,0.059539574047227116,0.35805814642269346,0.4500551186036965
,100,0.01,0.7633984019821463,0.034703125221931745,0.004048791745538079,0.06363011665507205,0.37907701427609075,0.48097521952794664
,100,0.1,0.8085608735224756,0.03546379513430528,0.0032529362406049115,0.05703451797468715,0.3873861356416208,0.4311195899930683
,100,0.5,0.7772476418753456,0.04193924672300636,0.003776303644269838,0.06145163662808207,0.4581202507576522,0.4645082544444364
,100,1.0,0.7241529449414977,0.04786894395718747,0.00470865459702984,0.06861963710942984,0.522892858663121,0.518690625722831
