n_estimators,max_depth,min_samples_split,min_samples_leaf,R-squared,MAE,MSE,RMSE,RAE,RRSE
10,,2,1,0.9314504273133689,0.010281221479879522,0.0011745943550193715,0.03427235555107602,0.11230616023138085,0.25906213286196533
10,,2,2,0.9065616124448747,0.01222536730576678,0.0015945732912389973,0.03993210852483246,0.13354289295448754,0.3018437757714548
10,,2,3,0.8727588485779932,0.015373683281715988,0.0021801045451164533,0.046691589661484574,0.16793328899312157,0.35293818034751673
10,,2,4,0.8545192220244164,0.017691660268752973,0.002513722585522552,0.0501370380609241,0.1932535386763216,0.37898206314087857
10,3.0,2,1,0.6733815203095215,0.046628640824570175,0.005647229190738881,0.07514804848257127,0.5093444993927948,0.5680383915046677
10,3.0,2,2,0.6571291820752887,0.04625435038521356,0.005935321131387215,0.07704103537328152,0.5052559655412753,0.5823473356522707
10,3.0,2,3,0.6468167371230475,0.04763422199758901,0.006096225631323237,0.07807833010075994,0.5203288907478225,0.5901881677219121
10,3.0,2,4,0.640731986898566,0.04825943694788661,0.006219684974950747,0.07886497939485401,0.5271583798824151,0.5961343899953903
10,5.0,2,1,0.8304110449199651,0.029995756174554446,0.0029040466900683713,0.05388920754722945,0.32765641765363646,0.40734442733651177
10,5.0,2,2,0.8371239092459686,0.028932844365173488,0.0027736483966860122,0.052665438350838895,0.31604577934477635,0.398094048917811
10,5.0,2,3,0.8059188197435722,0.032357334916611726,0.0033245518424681398,0.05765892682376372,0.35345294787366394,0.43583944906370004
10,5.0,2,4,0.7701557605582311,0.033394870318357604,0.003924652506069251,0.06264704706583743,0.3647863888760037,0.47354427116026543
10,7.0,2,1,0.8968662390971636,0.019144655744188475,0.0017642863841608465,0.042003409196883605,0.20912522697708205,0.31750058025051386
10,7.0,2,2,0.8721482051413589,0.021073075576313195,0.0021853311172324343,0.04674752525249261,0.2301901779737908,0.35336099323202474
10,7.0,2,3,0.8664719306703533,0.021758387055643747,0.0022938142859420868,0.04789378128674,0.23767612708564706,0.3620254555446744
10,7.0,2,4,0.831046396131627,0.02445658869243164,0.0028692331651714023,0.05356522346794982,0.2671497325274419,0.40489545628558943
10,10.0,2,1,0.9162641864773555,0.013665301418983289,0.0014327084720440664,0.037851135677071386,0.14927190643386834,0.28611386005073935
10,10.0,2,2,0.8987678251602821,0.01413000461824795,0.0017353700594000393,0.04165777309698682,0.15434805736192556,0.3148879432200679
10,10.0,2,3,0.8844292988393223,0.015523467815550793,0.0019887719297486763,0.04459564922443305,0.16956944923827869,0.33709512575603967
10,10.0,2,4,0.84466619308053,0.019423034491986544,0.002666586543192688,0.051639002151403816,0.21216607658006012,0.3903352956370191
50,,2,1,0.9249947393316612,0.010758278061457831,0.0012828930148946194,0.035817495932778706,0.11751725241483571,0.27074173166451926
50,,2,2,0.9093845227285158,0.011748332011994437,0.001556429729676965,0.03945161251047877,0.12833203330680212,0.29821174288930785
50,,2,3,0.8884156105721415,0.01407898783194765,0.0019278810301610108,0.043907642047381804,0.15379077928091697,0.331894531754101
50,,2,4,0.8664456557807245,0.016316153358446505,0.0023060722264389294,0.04802158084069005,0.17822829096907544,0.36299148266748965
50,3.0,2,1,0.7135011615625164,0.0440445212329804,0.004953364906430038,0.07038014568349542,0.4811170607097472,0.5319981763357298
50,3.0,2,2,0.703347802039141,0.044523191754233964,0.005128564313670507,0.07161399523606057,0.48634578264353157,0.5413247514012208
50,3.0,2,3,0.701532655647578,0.04421177096675882,0.005164700782408667,0.07186585268685447,0.48294400077101657,0.5432285227449386
50,3.0,2,4,0.6934097631984588,0.04439116210326112,0.005304126894433441,0.07282943700478152,0.4849035665443582,0.5505121834265775
50,5.0,2,1,0.8554900668915444,0.027768040295346585,0.0024672194602795364,0.049671112935785286,0.3033221284867386,0.37546017050374847
50,5.0,2,2,0.8478522785098562,0.02783903642227522,0.0026130241624867092,0.05111774801853764,0.304097649413144,0.3863951752323337
50,5.0,2,3,0.8326723244995964,0.02859207839444105,0.002880024365700386,0.05366585847352473,0.31232344753961344,0.40565614865019683
50,5.0,2,4,0.8097961844044569,0.030161497737283615,0.003280447447916545,0.05727519050964863,0.3294668833203171,0.4329388154074259
50,7.0,2,1,0.9117267802420281,0.01749130216892065,0.0015116697755726478,0.03888019773062693,0.1910649418342577,0.29389246196341245
50,7.0,2,2,0.8920861879396655,0.01882040601205262,0.0018526753052521745,0.043042714891746485,0.20558330907914585,0.3253566130698954
