n_estimators,max_depth,min_samples_split,min_samples_leaf,R-squared,MAE,MSE,RMSE,RAE,RRSE
100,1.0,2,1,0.2961143845014581,0.0721223456149855,0.012225264172221001,0.11056791655910407,0.7878230926890318,0.8357744844009126
100,2.0,2,1,0.517908613288671,0.0568668688584971,0.008366043394935787,0.09146607783728232,0.6211810239063282,0.6913851361553394
100,5.0,2,1,0.8605705197739804,0.026934175478292827,0.0023799324119312417,0.048784550955515024,0.294213468009127,0.36875871582314274
100,8.0,2,1,0.9217471578338671,0.01527296167542394,0.0013374990952117114,0.03657183472580657,0.16683306399776146,0.27644372131419725
100,13.0,2,1,0.9223039121331347,0.011151878523955262,0.0013313623964385328,0.03648783902122093,0.12181671787182341,0.2758088041621278
100,21.0,2,1,0.9257598749934919,0.010642928552012956,0.0012639540438993458,0.03555213135522744,0.11625724060440254,0.26873586097541546
100,34.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,53.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,54.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,55.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,89.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,100.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,200.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,300.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,400.0,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
100,,2,1,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
