max_depth,MAE,RMSE,RAE,RRSE
1,0.072122346,0.110567917,0.787823093,0.835774484
2,0.056866869,0.091466078,0.621181024,0.691385136
3,0.044324505,0.071814752,0.484175445,0.542842258
4,0.034335314,0.058656701,0.375059257,0.443381546
5,0.026934175,0.048784551,0.294213468,0.368758716
6,0.021410958,0.042235992,0.233881011,0.31925866
7,0.017552138,0.039001699,0.191729476,0.294810882
8,0.015272962,0.036571835,0.166833064,0.276443721
9,0.013729719,0.036160871,0.149975562,0.273337275
10,0.012640613,0.036553579,0.138078796,0.276305729
15,0.010936542,0.036912289,0.119464506,0.27901719
20,0.010727623,0.036109179,0.11718239,0.272946544
25,0.010649583,0.03584578,0.116329932,0.270955531
30,0.010690272,0.035957339,0.116774392,0.271798793
35,0.010690272,0.035957339,0.116774392,0.271798793
40,0.010690272,0.035957339,0.116774392,0.271798793
