hidden_layer_sizes,activation,solver,alpha,batch_size,learning_rate,R-squared,MAE,MSE,RMSE,RAE,RRSE
50,tanh,lbfgs,1e-05,200,constant,0.6679439255775159,0.02454502735936896,0.002442437034282277,0.04942101814291443,0.5401548638537051,0.5971539200283952
50,tanh,lbfgs,1e-05,200,invscaling,0.6679439255775159,0.02454502735936896,0.002442437034282277,0.04942101814291443,0.5401548638537051,0.5971539200283952
50,tanh,lbfgs,1e-05,200,adaptive,0.6679439255775159,0.02454502735936896,0.002442437034282277,0.04942101814291443,0.5401548638537051,0.5971539200283952
50,tanh,lbfgs,0.0001,200,constant,0.647932128346989,0.027326636433592684,0.002575437339455181,0.050748766876202826,0.601368878765285,0.6131971014659588
50,tanh,lbfgs,0.0001,200,invscaling,0.647932128346989,0.027326636433592684,0.002575437339455181,0.050748766876202826,0.601368878765285,0.6131971014659588
50,tanh,lbfgs,0.0001,200,adaptive,0.647932128346989,0.027326636433592684,0.002575437339455181,0.050748766876202826,0.601368878765285,0.6131971014659588
50,tanh,lbfgs,0.001,200,constant,0.6514019287538014,0.026190693847005203,0.0025600160276369665,0.05059660094944093,0.5763705398259894,0.6113584813185986
50,tanh,lbfgs,0.001,200,invscaling,0.6514019287538014,0.026190693847005203,0.0025600160276369665,0.05059660094944093,0.5763705398259894,0.6113584813185986
50,tanh,lbfgs,0.001,200,adaptive,0.6514019287538014,0.026190693847005203,0.0025600160276369665,0.05059660094944093,0.5763705398259894,0.6113584813185986
50,tanh,lbfgs,0.01,200,constant,0.6808545677808301,0.02564736339340818,0.0024553081640908045,0.049551066225569804,0.5644136337328192,0.598725290373807
50,tanh,lbfgs,0.01,200,invscaling,0.6808545677808301,0.02564736339340818,0.0024553081640908045,0.049551066225569804,0.5644136337328192,0.598725290373807
50,tanh,lbfgs,0.01,200,adaptive,0.6808545677808301,0.02564736339340818,0.0024553081640908045,0.049551066225569804,0.5644136337328192,0.598725290373807
50,tanh,sgd,1e-05,200,constant,-1.7224854441577175,0.08440030117186423,0.016916548760420327,0.13006363350460545,1.8573714553753957,1.571558246246836
50,tanh,sgd,1e-05,200,invscaling,-20.55618584433497,0.3290021692498149,0.12543972695147695,0.3541747124675574,7.240249494807502,4.279491315078345
50,tanh,sgd,1e-05,200,adaptive,-1.686123439347869,0.08380850932847372,0.016702691706904277,0.1292388939402697,1.8443480743900689,1.5615929221326823
50,tanh,sgd,0.0001,200,constant,-1.7224829319323038,0.08440026171406027,0.016916534145618913,0.1300635773213197,1.8573705870396464,1.5715575673844697
50,tanh,sgd,0.0001,200,invscaling,-20.55618230947866,0.3290021402186245,0.12543970664971602,0.35417468380689776,7.240248855927028,4.279490968771736
50,tanh,sgd,0.0001,200,adaptive,-1.686120546225562,0.08380846384799043,0.016702674880771002,0.12923882884323504,1.8443470735150687,1.5615921355655316
50,tanh,sgd,0.001,200,constant,-1.7224578098870829,0.08439986713788589,0.016916387998804523,0.1300630154917397,1.8573619037231996,1.571550778800408
50,tanh,sgd,0.001,200,invscaling,-20.556146960943465,0.32900184990681264,0.1254395036322667,0.3541743972004,7.240242467124323,4.279487505706827
50,tanh,sgd,0.001,200,adaptive,-1.6860916152845753,0.08380800904570912,0.01670250662105866,0.12923817787735425,1.8443370648212203,1.5615842699479843
50,tanh,sgd,0.01,200,constant,-1.7222066103256843,0.08439592156265573,0.01691492665062896,0.1300573975236663,1.8572750746632818,1.5714828969197083
50,tanh,sgd,0.01,200,invscaling,-20.539010708507185,0.32891347412973326,0.12538037179151312,0.3540909089365514,7.238297608594024,4.278478717423886
