Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,0,0,0,0,0
Gaussian Process,0.7286969843377613,0.004748261808894842,0.055167404030207624,0.12938041323391056,0.23676106183217333
Linear Regression,0.7276080191275615,0.004767320542562749,0.055250100281178036,0.12947804469791221,0.23723574575805545
Polynomial Regression,0.7276080191275615,0.004767320542562749,0.055250100281178036,0.12947804469791221,0.23723574575805545
Support Vector Regression,0.6402680659371185,0.0062959174994102335,0.06613382287917532,0.1736019469842773,0.2726292600094965
KNN,0.7406112175415377,0.004539742569380793,0.05608698797810592,0.10504627329285646,0.2315040343653015
Multi Layer Perception,0.07408202524280616,0.01620513117768771,0.1129183986766558,0.2979258234196517,0.43739037909386713
Random Forest,0.7846332355928322,0.0037692827698344706,0.04992373766673734,0.10074377361412606,0.2109464932704419
Gradient Boosting,0.7396168742935505,0.004557145258613071,0.05855843894455155,0.135977391111132,0.23194733473804802
AdaBoost,0.5750599463557247,0.007437169921844238,0.07636089626955703,0.21143288472022156,0.296310337151356
Bagging,0.782205865286,0.003811765857226044,0.050195865338629964,0.10115272697250978,0.21213193739152328
Extra Trees,0.8303502559715452,0.002969157561676217,0.041555724657971964,0.06876494139161933,0.18722316073414413
------,------,Depth,Results,------,------
Gaussian Process,0.35508295886282826,0.004417277204523737,0.05153046907558956,0.47699443882623827,0.890461826545177
Linear Regression,0.3488805113994553,0.00445976007913332,0.05169882889302533,0.4781327623840517,0.8947335595324021
Polynomial Regression,0.3488805113994553,0.00445976007913332,0.05169882889302533,0.4781327623840517,0.8947335595324021
Support Vector Regression,0.48322177361363916,0.003539606699158606,0.050079177640582374,0.5287656308199498,0.7971049084448725
KNN,0.5646420183954641,0.0029819290936369362,0.03965723009913937,0.2507752189940506,0.7316217963161794
Multi Layer Perception,0.08054865671025302,0.006297664971328718,0.06372837021591635,0.5983309753980174,1.0632313063688643
Random Forest,0.6957993894798363,0.0020835833707906525,0.03167136264159559,0.21388221057589044,0.6115661235867882
Gradient Boosting,0.7049928291628674,0.0020206140755904363,0.031564334912758785,0.22555126144037146,0.602253962693989
AdaBoost,0.3151604544472325,0.004690721318190754,0.06355299796914189,0.7254873735653501,0.9176092759439797
Bagging,0.6926687859480521,0.0021050260412974952,0.03176204582285467,0.21377419631887376,0.6147049575571815
Extra Trees,0.691696343021799,0.0021116866653729015,0.03197159208841876,0.1983929284405546,0.615676699690227
