Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,------,Width,Results,------,------
Gaussian Process,-373.81183039751045,6.559841199900743,1.415054766065217,1.7572212366560913,8.800140654124695
Linear Regression,0.7276080191275615,0.004767320542562749,0.055250100281178036,0.12947804469791221,0.23723574575805545
Polynomial Regression,0.7276080191275615,0.004767320542562749,0.055250100281178036,0.12947804469791221,0.23723574575805545
Support Vector Regression,0.7338028373885219,0.004658900741589424,0.06142774567176017,0.15336201101187147,0.23452258875937773
KNN,0.7154223827090831,0.004980589797538425,0.05816476190452846,0.10964541820427999,0.24248413977224914
Multi Layer Perception,0.6377518259800354,0.00598601977868964,0.06200820388481444,0.15782069916190378,0.273581087115671
Random Forest,0.7684535967903959,0.003874366880637753,0.050807695292831204,0.10761939076789614,0.218726794361549
Gradient Boosting,0.7375828734115178,0.004496079627924006,0.05826489383535297,0.1360772620147818,0.232851508780736
AdaBoost,0.5667885556281009,0.007385209862418291,0.07530313358398626,0.20905484357764026,0.29918025568191015
Bagging,0.7709925050273899,0.004413804440696753,0.0547674335048909,0.10992986344887107,0.2175243184263723
Extra Trees,0.834389583413053,0.0029942210459318734,0.04174404604687551,0.0700652139180216,0.1849808595975863
Depth,------,Depth,Results,------,------
Gaussian Process,-371.81700104987516,2.5535626059635153,0.9109543236060798,4.616851070514031,21.409732161205117
Linear Regression,0.3488805113994553,0.00445976007913332,0.05169882889302533,0.4781327623840517,0.8947335595324021
Polynomial Regression,0.3488805113994553,0.00445976007913332,0.05169882889302533,0.4781327623840517,0.8947335595324021
Support Vector Regression,0.3126813584143713,0.004707701570991135,0.06367633756543997,0.7277656905781862,0.9192686328954901
KNN,0.5297688205734781,0.0032207886243391807,0.04001894709043145,0.25776095207362715,0.760359700734017
Multi Layer Perception,0.4813487038154485,0.003437486041009046,0.04502019053397453,0.3921155085256013,0.7985481607146798
Random Forest,0.6815580140892981,0.0022480196660135655,0.03325613768905348,0.22058839223129073,0.6257178462123313
Gradient Boosting,0.7042776206658319,0.0020255777708552926,0.03156549903080321,0.22638751970978427,0.6029835659761419
AdaBoost,0.5205361646209683,0.0035735858434987515,0.052820862052874604,0.5456706795213866,0.7677879776638449
Bagging,0.6609023316069389,0.0023439294626125895,0.03440730405349554,0.23900668876932982,0.64569255918525
Extra Trees,0.6866273369283207,0.0020709731006083067,0.031658486057998037,0.19174787002397722,0.6207174204793159
