Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,------,Width,Results,------,------
Gaussian Process,0.8829839052066678,0.01173482358308105,0.044501878648824884,0.1281844749855472,0.33638632109624494
Linear Regression,0.744830710357834,0.03390073419177527,0.0663693692538399,0.37031215537510037,0.5016810218947233
Polynomial Regression,0.8489529266149075,0.021054429999403827,0.05091392698843222,0.22998650439744697,0.3848545075445659
Support Vector Regression,0.8206430533377492,0.03763978304756811,0.05527396503951816,0.41115537820941217,0.4178117040579578
KNN,0.8251688844236474,0.01584974497289157,0.05465336977440765,0.17313351356505768,0.41312067157891014
Multi Layer Perception,0.8800211080119332,0.018162728748401226,0.04744741295805957,0.19839922027250775,0.35865139124676965
Random Forest,0.9186072211616263,0.011342403275969845,0.037799086566160135,0.12389790086838354,0.28572042477413157
Gradient Boosting,0.91994912584011,0.012239930080185663,0.03731798486750552,0.13370196834066622,0.2820838135703514
AdaBoost,0.8833056602015619,0.021538617690291573,0.0460544644981777,0.23527549272449727,0.3481221996233343
Bagging,0.8622149953804283,0.0287566580594533,0.050184388492885736,0.3141212213027665,0.3793399814601384
Extra Trees,0.9108533644384034,0.010764710608674701,0.03958307672671004,0.11758751786722846,0.2992054709160011
Depth,------,Depth,Results,------,------
Gaussian Process,0.908336160104637,0.0062327488754674795,0.02478723289768064,0.13716218649792636,0.2995040136304628
Linear Regression,0.6316226389132238,0.028400166322182868,0.051814961821851746,0.6249937206660202,0.6260799297692442
Polynomial Regression,-1.2186122206216896,0.019717856196706716,0.09351104564981975,0.4339247935429018,1.1298935063269233
Support Vector Regression,0.5820303597384444,0.03561588703789547,0.053481757969518914,0.7837878659621902,0.6462198194532122
KNN,0.7741602748825013,0.009908664905421688,0.03740478785633264,0.21805693937909063,0.4519618683623165
Multi Layer Perception,0.8864170360787742,0.012062504357162015,0.02749284606080927,0.26545582139229223,0.3321959242214292
Random Forest,0.8049260508831022,0.00862295406510889,0.03476232468821314,0.18976269656826297,0.42003299885157286
Gradient Boosting,0.8911747572677537,0.007427194036911925,0.02646367777510433,0.16344797359909538,0.31976048886879427
AdaBoost,0.692746144756277,0.014905511739876438,0.03984558844778035,0.3280210099847187,0.48145404994740176
Bagging,0.7881919378817681,0.01597991963165504,0.03975007553213384,0.35166517383143353,0.4802999678557152
Extra Trees,0.8782045070978404,0.007195832643614465,0.027991357103859634,0.15835647461366478,0.33821943071160554
