Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,------,Width,Results,------,------
Gaussian Process,-373.81183039751045,6.559841199900743,1.415054766065217,1.7572212366560913,8.800140654124695
Linear Regression,0.7276080191275615,0.004767320542562749,0.055250100281178036,0.12947804469791221,0.23723574575805545
Polynomial Regression,0.7276080191275615,0.004767320542562749,0.055250100281178036,0.12947804469791221,0.23723574575805545
Support Vector Regression,0.7338028373885219,0.004658900741589424,0.06142774567176017,0.15336201101187147,0.23452258875937773
KNN,0.7154223827090831,0.004980589797538425,0.05816476190452846,0.10964541820427999,0.24248413977224914
Multi Layer Perception,0.6719270545369911,0.008148376658782678,0.07563961197140753,0.1410395680831088,0.2603563517399517
Random Forest,0.7730737721605974,0.003949598640214928,0.05106676960857104,0.10485386630300786,0.21653360951370565
Gradient Boosting,0.7400032202204814,0.004591309411174022,0.058738132685538,0.13586734948261858,0.23177519383393236
AdaBoost,0.5908049915704027,0.0077670692984344505,0.07775529248065974,0.2047407577238044,0.29076901959081214
Bagging,0.7714944240170337,0.003817695639363824,0.05221888701859957,0.10838419434966927,0.21728581209626024
Extra Trees,0.8287848347234766,0.0030951425795566327,0.04311809580412162,0.06796569931910286,0.18808496609770045
Depth,------,Depth,Results,------,------
Gaussian Process,0.35508295886282826,0.004417277204523737,0.05153046907558956,0.47699443882623827,0.890461826545177
Linear Regression,0.3488805113994553,0.00445976007913332,0.05169882889302533,0.4781327623840517,0.8947335595324021
Polynomial Regression,0.3488805113994553,0.00445976007913332,0.05169882889302533,0.4781327623840517,0.8947335595324021
Support Vector Regression,0.48322177361363916,0.003539606699158606,0.050079177640582374,0.5287656308199498,0.7971049084448725
KNN,0.5646420183954641,0.0029819290936369362,0.03965723009913937,0.2507752189940506,0.7316217963161794
Multi Layer Perception,0.08054865671025302,0.006297664971328718,0.06372837021591635,0.5983309753980174,1.0632313063688643
Random Forest,0.6957993894798363,0.0020835833707906525,0.03167136264159559,0.21388221057589044,0.6115661235867882
Gradient Boosting,0.7049928291628674,0.0020206140755904363,0.031564334912758785,0.22555126144037146,0.602253962693989
AdaBoost,0.3151604544472325,0.004690721318190754,0.06355299796914189,0.7254873735653501,0.9176092759439797
Bagging,0.6926687859480521,0.0021050260412974952,0.03176204582285467,0.21377419631887376,0.6147049575571815
Extra Trees,0.691696343021799,0.0021116866653729015,0.03197159208841876,0.1983929284405546,0.615676699690227
