Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,Width,Results,Synthetic,1000,------
Gaussian Process,-0.0043995639173626255,0.021377685959750453,0.1449296999295412,0.3139560017364964,0.4720868595965092
Linear Regression,-0.004325365535258419,0.021376106718014074,0.14492218197448908,0.31391008534309095,0.4720694219504829
Polynomial Regression,-0.004325365535258419,0.021376106718014074,0.14492218197448908,0.31391008534309095,0.4720694219504829
Support Vector Regression,-0.0508635893042213,0.022366628387475225,0.14814707235946484,0.3263803308366297,0.4828829004983452
KNN,-0.5662540624184214,0.033336222637308136,0.18167025108858584,0.4148544017263669,0.5895216507612411
Multi Layer Perception,-0.013096912159826779,0.02156280071496284,0.1455166113079576,0.3173667920887722,0.4741264132410159
Random Forest,-0.19844693908461952,0.025507799110596863,0.15838335476889304,0.36097171395145317,0.5156773538790761
Gradient Boosting,-0.1228671854293446,0.023899156199347345,0.15345680551511232,0.33884801304082507,0.49915203899861743
AdaBoost,-0.24268689774701313,0.026449404401093383,0.16190953954149132,0.38689825904033265,0.5251090631545479
Bagging,-0.1991205044949642,0.025522135307398396,0.1584379715729794,0.3609833580123454,0.5158222470848048
Extra Trees,-0.2935416133937949,0.027531798479829526,0.16460616839977024,0.37571237834986104,0.5357459006969296
Depth,Depth,Results,Synthetic,1000,------
Gaussian Process,-0.011109655829121712,0.02780353080173668,0.16518848813583326,0.632702918495858,0.9381561522723193
Linear Regression,-0.01070693084509311,0.02779245665519529,0.1651640134530958,0.6329209860778122,0.937969299863149
Polynomial Regression,-0.01070693084509311,0.02779245665519529,0.1651640134530958,0.6329209860778122,0.937969299863149
Support Vector Regression,-0.020215004523982838,0.028053910017718488,0.16565244666714687,0.5922986458583608,0.9423708749748492
KNN,-0.5676364534013532,0.04310692531397979,0.20659134154879782,0.8143676659764087,1.1681501766418507
Multi Layer Perception,-0.013652967317011155,0.027873466875321058,0.16542730188528662,0.6358549860564734,0.9393353145713874
Random Forest,-0.18801361892438506,0.03266804253744468,0.17998468170227727,0.7118155995187669,1.0169198194235067
Gradient Boosting,-0.06983672807964947,0.029418410011721508,0.1702767706867982,0.6607809847334323,0.9650165326446888
AdaBoost,-0.19508248452765065,0.032862422465873474,0.1804512913088301,0.7988565540421126,1.019940747797517
Bagging,-0.18868191890115127,0.032686419474982256,0.1800112374729051,0.7130359923670592,1.017205806019909
Extra Trees,-0.42527164501540105,0.03919217253496855,0.19651637079455692,0.7630415274166377,1.1138451666225513
