Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,Width,Results,Poly,6 features,------
Gaussian Process,0.6148924504264839,0.006949103070961341,0.06170429890449101,0.14832490444019486,0.2915168200743595
Linear Regression,0.01583034269265915,0.017758925774151425,0.08525590442179856,0.1753569651557281,0.4660232532654432
Polynomial Regression,0.01583034269265915,0.017758925774151425,0.08525590442179856,0.1753569651557281,0.4660232532654432
Support Vector Regression,0.3628475115373818,0.011497147534888858,0.08026096217235631,0.20115422814612144,0.3749680752381904
KNN,0.44726826534760356,0.009973810689882416,0.07165377745658011,0.12854450009682486,0.34924468191431923
Multi Layer Perception,-0.02559572599247595,0.018506441686099995,0.09567231800409759,0.22291410574744713,0.4757301791245703
Random Forest,0.676404709323123,0.005839140340618128,0.05644680264594505,0.11297212370698294,0.2672229155027858
Gradient Boosting,0.6755592337294771,0.005854396590594879,0.058342149667402185,0.12531454208221415,0.267571781936884
AdaBoost,0.5566997704641284,0.007999165401553687,0.08128443025715104,0.21060718222927158,0.3127674719347357
Bagging,0.6702673356327615,0.005949886656566905,0.05691526879907223,0.1129091949352061,0.2697451144565974
Extra Trees,0.6264704158519231,0.006740183575141265,0.05595013645788607,0.10098624152503319,0.2871012635450952
Depth,Depth,Results,Poly,6 features,------
Gaussian Process,0.523362595256867,0.0030325726614220125,0.04298659983994948,0.42064766919335245,0.7751560683877529
Linear Regression,-0.35144351319383227,0.008598466278105883,0.062223667926574855,0.5101363909841266,1.305251015393825
Polynomial Regression,-0.35144351319383227,0.008598466278105883,0.062223667926574855,0.5101363909841266,1.305251015393825
Support Vector Regression,0.04004925109961255,0.00610762052759109,0.07072236328066724,0.8154193181072568,1.1000680885772678
KNN,0.4146327076917724,0.0037243590827732527,0.039426048843401326,0.26649707483020735,0.8590319500620328
Multi Layer Perception,-0.027200230725646257,0.006535490724198891,0.06129442634064932,0.6225133306722423,1.1379485973692123
Random Forest,0.614696952988784,0.0024514641005955345,0.030736292573887186,0.22376046318974854,0.6969414786672885
Gradient Boosting,0.5805795241606442,0.0026685338918302063,0.034287795774848966,0.25808169606731307,0.7271431295594044
AdaBoost,0.4407376331322821,0.0035582682925172663,0.04911220593462813,0.5037841999050185,0.8396588868983825
Bagging,0.6154690082434913,0.0024465519522092897,0.030758871346890888,0.22534249388628452,0.6962428764241971
Extra Trees,0.6065286058875319,0.0025034346464691054,0.03037194155356045,0.21357153398161235,0.704290244428197
