Model,R-squared,MAE,MSE,RMSE,RAE,RRSE
Gaussian Process,-7.497451393615206,0.05425217295499089,0.13922945830327907,0.3731346383053697,0.592619587148043,2.8204963939524768
Linear Regression,0.7448307103578337,0.033900734191775285,0.004404893175152552,0.06636936925383992,0.37031215537510054,0.5016810218947234
Polynomial Regression,0.8489529266149068,0.02105442999940385,0.002592227961383422,0.05091392698843237,0.22998650439744722,0.384854507544567
Support Vector Regression,0.7640827784315982,0.04318393845950813,0.0040285340090300235,0.06347073348426047,0.47171654861698803,0.4797704542438325
KNN,0.8007546573797388,0.016421321481686745,0.0033914709484267765,0.05823633701072533,0.17937708716250114,0.44020404881662845
Multi Layer Perception,0.6687670409523593,0.04043725261455328,0.0056934866942886285,0.07545519660227934,0.44171332952357156,0.5703601008157634
Random Forest,0.9165152387463383,0.011452531706301741,0.0014517421791754134,0.038101734595362105,0.1251008806083968,0.2880081182428424
Gradient Boosting,0.9236761414555394,0.015657220813430718,0.0013115962361102938,0.036215966590860085,0.17103049018956323,0.27375374110786294
AdaBoost,0.7502864388646696,0.044499623545828634,0.004238479475668089,0.06510360570404752,0.4860883370671752,0.4921132113478392
Bagging,0.9057956325332892,0.012098864623624497,0.0016299550097709135,0.04037270129395497,0.1321610502893748,0.3051741830532751
Extra Trees,0.9240918990340283,0.01069027189565062,0.0012929302148994395,0.0359573388183753,0.11677439210696149,0.2717987934166429
