K,R-squared,MAE,MSE,RMSE,RAE,RRSE
2,0.76917792893595,0.010032840857228916,0.0014351431355596725,0.03788328306205354,0.2207896413378332,0.45774352358813053
3,0.7758006312701878,0.010071829602008035,0.001437292614252909,0.03791164219936811,0.22164765464617658,0.45808618690532577
4,0.7316371325455595,0.010390563532228916,0.001702902225122044,0.04126623589718408,0.22866193416452066,0.498619726116528
5,0.7330953176373518,0.010598847231084337,0.0017712228357757323,0.04208589830068656,0.23324556943006672,0.5085237029212143
10,0.7061452684302257,0.01209920807626506,0.0021520020097081038,0.04638967568013495,0.26626354884375353,0.5605262239060153
15,0.6856209827705914,0.012647651325943773,0.0023353978286157926,0.04832595398557376,0.2783329706669323,0.5839222651817149
20,0.6755959413895283,0.012885315754216867,0.002421561866851032,0.04920936767375732,0.28356317860343805,0.5945965484467832
25,0.6594299607057821,0.012970796424433734,0.0025843559974947877,0.0508365616214825,0.28544432540792475,0.6142579249429266
30,0.637027703361077,0.013208941996465861,0.002749614492905573,0.05243676661375655,0.29068512172707306,0.6335931940226158
35,0.6149870352170852,0.013585652779552499,0.002903282029836809,0.05388211233644064,0.2989752800052106,0.6510572993067524
40,0.5962055474365108,0.013998672151265056,0.0030324182025281373,0.055067396910768694,0.3080644702199929,0.6653790870097576
45,0.5834164594064,0.014427242054993305,0.0031235258831213645,0.05588851298005132,0.3174958762074776,0.6753006284509414
50,0.5683279845198214,0.014901472663421686,0.0032321414173688535,0.05685192536202141,0.32793212327212445,0.6869415355409912
