base_estimator,n_estimators,learning_rate,R-squared,MAE,MSE,RMSE,RAE,RRSE
,10,0.001,0.5060425439263889,0.023850020606262783,0.0028216555003207117,0.05311925733969472,0.5248600641126009,0.6418397261195156
,10,0.01,0.5663474624310789,0.02362330220346131,0.0024799380327115254,0.04979897622152011,0.5198707419902275,0.6017207856399678
,10,0.1,0.6711574127928298,0.023048535110300465,0.001989280465443532,0.04460135048901022,0.5072220194441767,0.5389178993855143
,10,0.5,0.6409545500095252,0.02597583493966401,0.0021630457026796824,0.04650855515579561,0.5716422059706866,0.5619626440278428
,10,1.0,0.6708493588396707,0.02618745129917426,0.0020445141253339566,0.04521630375576886,0.5762991820737035,0.5463483766941214
,10,2.0,0.6231479399213582,0.03176686039937631,0.002299372364798519,0.047951771237343455,0.6990835211896833,0.5794010168685665
,10,10.0,-144.33588037153254,0.8568284201433736,0.7824734736395169,0.8845753069352077,18.855959370192696,10.688319098751975
,30,0.001,0.5246887171356911,0.02379829347500482,0.002731773778414079,0.0522663733045835,0.5237217210530025,0.6315343325029067
,30,0.01,0.6028480196059597,0.02313804714467487,0.0023465055066652155,0.04844074221835598,0.5091918832391061,0.5853092508358917
,30,0.1,0.6393013617708906,0.02526936223293899,0.0021669376725843743,0.046550377792069254,0.5560950785167117,0.5624679867369813
,30,0.5,0.6384110656466291,0.02679351931480762,0.0021724794094664687,0.04660986386449191,0.5896367343883707,0.5631867566585471
,30,1.0,0.5859360799187936,0.03154311753496743,0.002379686711965991,0.04878203267562752,0.694159680825053,0.589433061758577
,30,2.0,0.3768749760431868,0.04687513963219805,0.00354580133519887,0.05954663160245817,1.0315667729939868,0.7195016578385222
,30,10.0,-146.70405349680271,0.8955854037542169,0.8161236430206295,0.9033956182208487,19.70887238182576,10.915724827785635
,50,0.001,0.5849206390837571,0.023634521735688065,0.0024594891476937613,0.049593236914863316,0.5201176467833538,0.599234838605879
,50,0.01,0.6303472066288658,0.02320110144485356,0.0022800514133198115,0.04774988390896685,0.510579499819432,0.5769616132691603
,50,0.1,0.6395502763014445,0.025576706331074346,0.0021489303204930152,0.046356556391658504,0.5628587055053439,0.5601260437056585
,50,0.5,0.5764255034459678,0.029206816270624054,0.0024382882133531557,0.04937902604702887,0.6427454178508895,0.5966465297395963
,50,1.0,0.5164598819459306,0.036375820964570996,0.002713515577221065,0.052091415580890726,0.8005114980319888,0.629420319184924
,50,2.0,0.11756444813251284,0.059045282127592545,0.00489157793610403,0.06993981652895602,1.2993913537708652,0.845082460372596
,50,10.0,-146.70405349680271,0.8955854037542169,0.8161236430206295,0.9033956182208487,19.70887238182576,10.915724827785635
,100,0.001,0.5948325319954436,0.023309758198673418,0.0024315318843416917,0.04931056564613401,0.512970675563791,0.5958193230510804
,100,0.01,0.6310756498933416,0.023402180794132685,0.0022359535115588415,0.04728587010470296,0.5150045911808477,0.5713549367461838
,100,0.1,0.6335677359840208,0.02604527403348884,0.0021817482920715252,0.04670918851865792,0.5731703307399898,0.564386895968085
,100,0.5,0.5269422367663601,0.0344171369117934,0.002663199462366436,0.05160619596876364,0.757407340828568,0.6235574129894577
,100,1.0,0.3818589164211703,0.04295702443688998,0.0034420924470315957,0.05866934844560314,0.9453420176128554,0.7089014497534532
,100,2.0,-0.033351229178295326,0.06491567285616431,0.005681252064874151,0.07537408085591592,1.4285792360385696,0.9107446496041189
,100,10.0,-146.70405349680271,0.8955854037542169,0.8161236430206295,0.9033956182208487,19.70887238182576,10.915724827785635
,200,0.001,0.6355092062518499,0.023099241852945273,0.002219645094408061,0.04711310958117773,0.5083379071255695,0.569267472187058
,200,0.01,0.6368108611212664,0.024448540406790443,0.0022076578266662,0.04698571939074893,0.5380315051802501,0.5677282171403946
,200,0.1,0.6158093741563213,0.02702529229776914,0.0022708853177737048,0.047653806959924036,0.5947372911008797,0.5758007159647102
,200,0.5,0.4338378228094538,0.039378399655267335,0.003195911449956777,0.05653239292615144,0.8665883232942776,0.6830806266842737
,200,1.0,0.2848134514916518,0.04590934328797651,0.003947347729791118,0.06282792157783924,1.010312790051317,0.7591494685307755
,200,2.0,-0.08649908791873036,0.06651744686209786,0.0059747130220601605,0.07729626784043432,1.4638289836730607,0.9339704255181931
,200,10.0,-146.70405349680271,0.8955854037542169,0.8161236430206295,0.9033956182208487,19.70887238182576,10.915724827785635
DecisionTreeRegressor(max_depth=3),10,0.001,0.5060425439263889,0.023850020606262783,0.0028216555003207117,0.05311925733969472,0.5248600641126009,0.6418397261195156
DecisionTreeRegressor(max_depth=3),10,0.01,0.5663474624310789,0.02362330220346131,0.0024799380327115254,0.04979897622152011,0.5198707419902275,0.6017207856399678
