K,R-squared,MAE,MSE,RMSE,RAE,RRSE
2,0.7741602748825013,0.009908664905421688,0.0013991181545772494,0.03740478785633264,0.21805693937909063,0.4519618683623165
3,0.7409522839484637,0.010181252062248998,0.001650094903070117,0.040621360182422704,0.22405568105611393,0.4908276960153416
4,0.7364665169749782,0.01011838297560241,0.0016674885413824972,0.04083489367419116,0.22267214041299332,0.49340782014993845
5,0.7329913195138144,0.010624253215180724,0.0017731935024644992,0.042109304226791724,0.23380467110388967,0.5088065166116399
10,0.7059908877146956,0.012109132609518073,0.00215268807988729,0.04639706973384516,0.26648195499297483,0.5606155662207604
15,0.6855998878675671,0.012651156094377508,0.002335249502313965,0.04832441931688331,0.2784100990273307,0.583903721787449
20,0.6755844973603782,0.012882176443554216,0.0024216331576191012,0.049210092030183214,0.2834940927597455,0.5946053008419275
25,0.6588434146112194,0.012998352531759036,0.0025901093819675116,0.05089311723570793,0.2860507441819887,0.6149412861524562
30,0.6370111983814437,0.013209370913052207,0.002749715716493726,0.05243773180157325,0.29069456076239825,0.633604856382275
35,0.6149750536378084,0.013588657031153185,0.002903362207665923,0.053882856342865895,0.29904139364568827,0.6510662891327427
40,0.596186998117074,0.014005622255722891,0.0030325977585269584,0.05506902721609452,0.3082174190300401,0.66539878598102
45,0.583425516557786,0.014421739932021418,0.003123515806204691,0.055888422828030235,0.31737479268040414,0.6752995391445125
50,0.5683322171708097,0.014899692329903614,0.0032321099626659044,0.05685164872425341,0.3278929440202545,0.6869381929281962
