n_estimators,max_depth,min_samples_split,min_samples_leaf,R-squared,MAE,MSE,RMSE,RAE,RRSE
10,,2,1,0.7961614631883974,0.00919458385747992,0.0012325690973029764,0.03510796344567677,0.20234237750127435,0.42420935026417
10,,2,2,0.7857291671225433,0.009862162122987017,0.001439329339609494,0.03793849416634105,0.2170335669563571,0.45841063909066915
10,,2,4,0.8026099487989387,0.010758169908132404,0.001343280223756206,0.03665078749162432,0.23675173455547885,0.44285128565059706
10,,5,1,0.7994125598997446,0.009603130090440472,0.001364247245221013,0.03693571774341218,0.2113331287280607,0.4462940964866217
10,,5,2,0.7893478199228969,0.009829818824328783,0.001419553952676661,0.037676968464523,0.21632179793579212,0.4552506253172335
10,,5,4,0.8026099487989387,0.010758169908132404,0.001343280223756206,0.03665078749162432,0.23675173455547885,0.44285128565059706
10,,10,1,0.7771004275669086,0.010520058541672952,0.0015314050210944925,0.03913317034300304,0.23151169098784227,0.4728459054786508
10,,10,2,0.7757992352843803,0.010696496603146198,0.0015321978040734783,0.03914329832900491,0.23539450911138024,0.47296828188387824
10,,10,4,0.7890027287703463,0.011203562447853534,0.0014323844977657497,0.03784685585046332,0.2465533511164273,0.457303373769001
10,10.0,2,1,0.794936635670278,0.009562806476087335,0.0012466792311338272,0.03530834506365071,0.21044573935578142,0.42663056037215974
10,10.0,2,2,0.7864029894271208,0.010016043352414085,0.0014329814432441795,0.03785474135751266,0.22041998381847117,0.45739865431203447
10,10.0,2,4,0.8022747364010648,0.010846368976682324,0.0013455061403241137,0.03668114148065888,0.238692704315548,0.443218052751349
10,10.0,5,1,0.7988379349582341,0.009874107041793631,0.00136493076117129,0.03694496936216472,0.21729643510872307,0.44640588375067025
10,10.0,5,2,0.7872115587500458,0.010095730282426963,0.0014372398513841746,0.037910946326676874,0.22217362956519696,0.4580777786790078
10,10.0,5,4,0.8022747364010648,0.010846368976682324,0.0013455061403241137,0.03668114148065888,0.238692704315548,0.443218052751349
10,10.0,10,1,0.7779021775821222,0.010671972353463835,0.0015242380177384117,0.039041490977400076,0.23485481149547047,0.47173814415335374
10,10.0,10,2,0.7756375223704272,0.010805493600565824,0.0015325321902660307,0.03914756940431974,0.23779317249193613,0.4730198892659765
10,10.0,10,4,0.7888978410434315,0.011269039497436392,0.0014330014269133067,0.03785500530858907,0.24799428439733767,0.45740184363159714
10,20.0,2,1,0.7960160416517084,0.009192821183714858,0.0012329354168367104,0.03511318010144781,0.2023035868821544,0.42427238309028675
10,20.0,2,2,0.7857291671225433,0.009862162122987017,0.001439329339609494,0.03793849416634105,0.2170335669563571,0.45841063909066915
10,20.0,2,4,0.8026099487989387,0.010758169908132404,0.001343280223756206,0.03665078749162432,0.23675173455547885,0.44285128565059706
10,20.0,5,1,0.7994125598997446,0.009603130090440472,0.001364247245221013,0.03693571774341218,0.2113331287280607,0.4462940964866217
10,20.0,5,2,0.7893478199228969,0.009829818824328783,0.001419553952676661,0.037676968464523,0.21632179793579212,0.4552506253172335
10,20.0,5,4,0.8026099487989387,0.010758169908132404,0.001343280223756206,0.03665078749162432,0.23675173455547885,0.44285128565059706
10,20.0,10,1,0.7771004275669086,0.010520058541672952,0.0015314050210944925,0.03913317034300304,0.23151169098784227,0.4728459054786508
10,20.0,10,2,0.7757992352843803,0.010696496603146198,0.0015321978040734783,0.03914329832900491,0.23539450911138024,0.47296828188387824
