Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Gaussian Process,-7.49743079763383,0.054252340691516444,0.3731346262615985,0.592621419405538,2.820496302914525
Linear Regression,0.744830710357834,0.03390073419177527,0.0663693692538399,0.37031215537510037,0.5016810218947233
Polynomial Regression,0.7448307103578335,0.033900734191775465,0.06636936925383993,0.3703121553751025,0.5016810218947235
Support Vector Regression,0.7640827784315984,0.04318393845950813,0.06347073348426047,0.47171654861698803,0.4797704542438325
KNN,0.802664745061892,0.016299372640481924,0.05798259292937787,0.1780449880410901,0.4382860165758329
Multi Layer Perception,0.6687670409523593,0.04043725261455328,0.07545519660227934,0.44171332952357156,0.5703601008157634
Random Forest,0.9165152387463383,0.011452531706301741,0.038101734595362105,0.1251008806083968,0.2880081182428424
Gradient Boosting,0.9236761414555394,0.015657220813430718,0.036215966590860085,0.17103049018956323,0.27375374110786294
AdaBoost,0.7502864388646696,0.044499623545828634,0.06510360570404752,0.4860883370671752,0.4921132113478392
Bagging,0.9057956325332892,0.012098864623624497,0.04037270129395497,0.1321610502893748,0.3051741830532751
Extra Trees,0.9240918990340283,0.01069027189565062,0.0359573388183753,0.11677439210696149,0.2717987934166429
