Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,Width,Results,Synthetic,2000,------
Gaussian Process,-0.004410373995576755,0.021844031740737204,0.14713660243017626,0.30943333581188864,0.47520624068326744
Linear Regression,-0.004400698829857941,0.021843821324126086,0.14713616433472715,0.30941085659246176,0.4752039519224579
Polynomial Regression,-0.004400698829857941,0.021843821324126086,0.14713616433472715,0.30941085659246176,0.4752039519224579
Support Vector Regression,-0.051313237827064206,0.022864080590084313,0.1503867818230435,0.31979427504904506,0.48617498231085315
KNN,-0.5274881610975304,0.03321998730646492,0.18163938630458237,0.4172212783993971,0.5860240871457455
Multi Layer Perception,-0.013821179815177054,0.022048699022509187,0.14785291114445653,0.3119071980034794,0.4774272687136408
Random Forest,-0.22807640711955957,0.026708346221529865,0.16281951851025528,0.3645884928949796,0.5254594835585017
Gradient Boosting,-0.05279099968481993,0.022896219124055893,0.15060986593712872,0.3233953073675568,0.48651655441644664
AdaBoost,-0.08151840495331242,0.023520986020894745,0.1529499809639879,0.3428339746360557,0.49310964572743904
Bagging,-0.22698104684510212,0.02668452420094718,0.1627357469417373,0.3646185556831534,0.5252250942974714
Extra Trees,-0.39918079952997587,0.030429544125852925,0.17354588528620254,0.38991084120102526,0.5608716118208424
Depth,Depth,Results,Synthetic,2000,------
Gaussian Process,-0.002379181046948453,0.008027549535969515,0.08844201061221411,0.6435762813960589,1.0251591990585667
Linear Regression,-0.002310061800907315,0.008026995994772756,0.0884420172278906,0.6438355623558618,1.0251238534259937
Polynomial Regression,-0.002310061800907315,0.008026995994772756,0.0884420172278906,0.6438355623558618,1.0251238534259937
Support Vector Regression,-0.07128149367728875,0.008579353422404193,0.09174211932330203,0.7817829742564304,1.059807760644941
KNN,-0.48315003716160754,0.011877800953681407,0.10824501433036134,0.8291830889438212,1.2470039742692918
Multi Layer Perception,-0.010974115411969132,0.008096382032372267,0.08879536015309494,0.6538632313662623,1.029544948887563
Random Forest,-0.21715749905155968,0.009747600809613708,0.09773393250993731,0.7465129968912411,1.1296624256968741
Gradient Boosting,-0.0801668221158447,0.008650511538546794,0.09200528792800991,0.6635641289222324,1.0641937669255035
AdaBoost,-3.801002888430462,0.03844881182483692,0.19560440232308757,2.0385729255715463,2.243578542276564
Bagging,-0.22098843200577623,0.009778280820372545,0.09791165784443594,0.7463418641325373,1.131438802665236
Extra Trees,-0.3635844253015126,0.010920260244383233,0.10376650173056172,0.7855365187188939,1.1956837037197383
