Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,------,Width,Results,------,------
Gaussian Process,-7.49743079763383,0.054252340691516444,0.3731346262615985,0.592621419405538,2.820496302914525
Linear Regression,0.744830710357834,0.03390073419177527,0.0663693692538399,0.37031215537510037,0.5016810218947233
Polynomial Regression,0.7448307103578335,0.033900734191775465,0.06636936925383993,0.3703121553751025,0.5016810218947235
Support Vector Regression,0.7640827784315984,0.04318393845950813,0.06347073348426047,0.47171654861698803,0.4797704542438325
KNN,0.802664745061892,0.016299372640481924,0.05798259292937787,0.1780449880410901,0.4382860165758329
Multi Layer Perception,0.6905304622649224,0.041144405974536204,0.07407347609224645,0.4494378667986242,0.5599157804125512
Random Forest,0.9168813630283944,0.011374920367211286,0.03818860749556858,0.12425309890262162,0.28866478389810657
Gradient Boosting,0.9270895693107063,0.01563487132277756,0.035853903505789916,0.17078635718617494,0.2710169337440073
AdaBoost,0.77507795779291,0.04327295604449608,0.061703208367493045,0.47268892560377235,0.46640986611750845
Bagging,0.893827659204948,0.011889761637275101,0.03864541661077582,0.12987692932808895,0.2921177693084619
Extra Trees,0.9225458265724491,0.010786916305066282,0.03628180304500909,0.11783008014466628,0.2742513938649514
Depth,------,Depth,Results,------,------
Gaussian Process,-84.26947053165702,0.07978825549170576,0.6568243716164576,1.755875585357465,7.936405663410821
Linear Regression,0.6316226389132238,0.028400166322182868,0.051814961821851746,0.6249937206660202,0.6260799297692442
Polynomial Regression,0.6316226389132236,0.028400166322183385,0.05181496182185172,0.6249937206660316,0.6260799297692439
Support Vector Regression,0.3566195795487507,0.053336855105749724,0.06238642986266432,1.173767756956036,0.7538149262998893
KNN,0.7329913195138144,0.010624253215180724,0.042109304226791724,0.23380467110388967,0.5088065166116399
Multi Layer Perception,0.5401184109649237,0.028995725035055143,0.05496161947795486,0.6380999979888532,0.6641009788074405
Random Forest,0.7985086441332798,0.008507052868772891,0.03436041695233313,0.1872120946067844,0.4151767496485221
Gradient Boosting,0.8995813180349994,0.008421390274237304,0.02631623304574376,0.1853269442497992,0.3179789149264976
AdaBoost,0.4675221527764175,0.0400579635550802,0.053123383743527354,0.8815432769151867,0.6418895854368034
Bagging,0.7728685596228418,0.008751431466409639,0.03452571313824427,0.19259005920232397,0.4171740226528366
Extra Trees,0.8774148082317115,0.0069716490557530115,0.028585235484094525,0.15342293538363755,0.34539526026962575
