Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,Width,Results,Synthetic,3000,------
Gaussian Process,-0.0008156688200362527,0.0225284536256826,0.14940884759070375,0.318667182383091,0.48377850906094166
Linear Regression,-0.000813404633663195,0.022528402658637123,0.14940898124791305,0.3186615090471593,0.48377796182464167
Polynomial Regression,-0.000813404633663195,0.022528402658637123,0.14940898124791305,0.3186615090471593,0.48377796182464167
Support Vector Regression,-0.03897597580467882,0.02338744567889347,0.15222428301023322,0.32597183070402574,0.49291527466468665
KNN,-0.5224521938078803,0.03427054023440456,0.18460720928522406,0.42675262785860196,0.5966798280160469
Multi Layer Perception,-0.006943286589905506,0.02266638687059988,0.14986465352741898,0.31928691837547,0.4852572459689112
Random Forest,-0.19516465434679198,0.026903267334185084,0.1635553700565891,0.369116027133278,0.5286684511029466
Gradient Boosting,-0.025512472022001687,0.02308438095872891,0.15133590862654606,0.3260049218543183,0.489711155180648
AdaBoost,-0.09321709969059389,0.024608418413572416,0.15639727920450103,0.3548225116418093,0.5056182390762085
Bagging,-0.1982190250583058,0.02697202150248374,0.16376862136177786,0.3692750108181431,0.5293435543522593
Extra Trees,-0.37868616058065774,0.03103435347852932,0.1757472064958259,0.39959909282027595,0.5678089474166371
Depth,Depth,Results,Synthetic,3000,------
Gaussian Process,-0.0017749124047194975,0.009261263983117732,0.09527913056492766,0.6702896195046084,1.0812453134879976
Linear Regression,-0.0017136210164399035,0.009260697353109614,0.09527413054099776,0.6705024549548628,1.081212236177313
Polynomial Regression,-0.0017136210164399035,0.009260697353109614,0.09527413054099776,0.6705024549548628,1.081212236177313
Support Vector Regression,-0.05665950387783192,0.009768664082625028,0.098031563404012,0.8107153441274128,1.1104696518579342
KNN,-0.45935871464230393,0.013491559965224465,0.11548144257103439,0.8388559914784449,1.3050290834491973
Multi Layer Perception,-0.005442683774836032,0.009295171998249427,0.09550701773028542,0.7019485650116987,1.083222872145513
Random Forest,-0.2513945323996074,0.011568961218805967,0.10694662784442706,0.7804336862526738,1.2084711557274268
Gradient Boosting,-0.03771637866546995,0.009593537633475082,0.0971179532251316,0.6905885993823794,1.100470735819364
AdaBoost,-0.40286489808750736,0.01296928281289304,0.11315374822243322,1.0259345588737554,1.2795200236509756
Bagging,-0.24990484238312538,0.011555189250347962,0.1068759407996982,0.779656991457054,1.2077516450324348
Extra Trees,-0.3952436857025703,0.012898825808136474,0.11283311311536622,0.8061313421271237,1.2760397263080532
