Model,Correlation Coefficient,MAE,RMSE,RAE,RRSE
Width,Width,Results,Poly,6 features,------
Gaussian Process,0.5024144842476106,0.008978720462400936,0.06859684232972477,0.14869905082542068,0.33136487177717366
Linear Regression,0.4484791628329906,0.009951960556215491,0.07080263563944952,0.15278378679145294,0.3488619181326324
Polynomial Regression,0.4484791628329906,0.009951960556215491,0.07080263563944952,0.15278378679145294,0.3488619181326324
Support Vector Regression,0.3859637479618233,0.011080024812407694,0.0796516396478535,0.19262730284601448,0.3681032126201188
KNN,0.33107247629302516,0.012070514624786203,0.07640302262191348,0.1420835254872382,0.3842042234099746
Multi Layer Perception,0.0917380938692226,0.016389202465961306,0.08918788603159862,0.2004568608367322,0.4476907811509663
Random Forest,0.6005670957095052,0.007207598046109482,0.060989650629998685,0.1192450779096982,0.29688928290244754
Gradient Boosting,0.5368639220750033,0.008357094907502468,0.06672617063407607,0.1334582513648247,0.31968842237157263
AdaBoost,0.47380394402595716,0.009494985576227796,0.0855049214418516,0.20692202623408906,0.34075826314412305
Bagging,0.5873054206202537,0.007446899371650531,0.06175736723289749,0.11906492636702114,0.3017775886369606
Extra Trees,0.6231586696109369,0.006799942637249935,0.055957948136527255,0.1018496479443058,0.2883711875056929
Depth,Depth,Results,Poly,6 features,------
Gaussian Process,-1.3218109753933707,0.01477236242665857,0.07541212219669145,0.5667482463050766,1.710836552941646
Linear Regression,-4.809276731577988,0.03696112311687439,0.10501937500614895,0.669794417443848,2.706176530387292
Polynomial Regression,-4.809276731577988,0.03696112311687439,0.10501937500614895,0.669794417443848,2.706176530387292
Support Vector Regression,0.22921750561870025,0.004904050536325583,0.05342095695498823,0.5697271982283868,0.9857368950488682
KNN,0.22373728374709245,0.00493891807055807,0.04285659544205388,0.2977510511778029,0.9892349563257468
Multi Layer Perception,0.15482592729794076,0.005377361830006254,0.050539693665980955,0.4305133779448771,1.0322102648401477
Random Forest,0.577544201465783,0.0026878459234320707,0.03313197263182823,0.23540651139649282,0.7297695335671399
Gradient Boosting,0.528730977028751,0.002998416702121534,0.03656045497742138,0.2596376951788959,0.7707784037015593
AdaBoost,0.4566434507720275,0.003457068623225993,0.04684734770066233,0.4645196083308506,0.8276325138792934
Bagging,0.5764027056623044,0.002695108611866317,0.03310901212821942,0.234645253394706,0.7307548045717741
Extra Trees,0.5697482387129515,0.002737447199535112,0.032238703219764006,0.2203375152592107,0.7364723037577685
