Laser Power [W],Scanning Speed [mm/s],Layer Thickness [um],Spot Size [um],Porosity [%],Max Melt Pool Width [um],Max Melt Pool Depth [um],Ratio
190.0,600.0,70.0,30.0,50.0,116.478824175,125.30354882050564,1.0757624805024406
190.0,600.0,70.0,40.0,50.0,116.478824175,130.73988179824767,1.122434766355656
190.0,600.0,70.0,50.0,50.0,116.478824175,135.9003305932685,1.166738517115259
190.0,650.0,70.0,50.0,50.0,125.0799718,127.27841856473367,1.0175763292323805
190.0,650.0,70.0,60.0,50.0,125.0799718,129.7170405870211,1.0370728320472895
200.0,600.0,70.0,30.0,50.0,109.45882417499999,128.71780756071874,1.1759472891370364
200.0,650.0,70.0,30.0,50.0,118.6999718,123.07298836323803,1.036840923354272
200.0,650.0,70.0,40.0,50.0,118.6999718,126.87062065339475,1.0688344633068796
200.0,650.0,70.0,50.0,50.0,118.6999718,129.9945885909327,1.0951526493196075
210.0,600.0,70.0,30.0,50.0,109.49475338500001,131.04974204499325,1.1968586438493785
210.0,650.0,70.0,30.0,50.0,118.73590100999999,125.39178734053846,1.0560562245615832
210.0,650.0,70.0,40.0,50.0,118.73590100999999,128.92973062129528,1.0858529688542706
210.0,650.0,70.0,50.0,50.0,118.73590100999999,131.7711611882111,1.1097836464567972
220.0,650.0,70.0,30.0,50.0,118.79196673999999,127.23488465268115,1.071073138566349
220.0,650.0,70.0,40.0,50.0,118.79196673999999,130.4318668610465,1.0979855830362903
220.0,650.0,70.0,50.0,50.0,118.79196673999999,132.88764450117145,1.1186585098975814
230.0,650.0,70.0,30.0,50.0,118.79196673999999,128.8322855010937,1.0845201829435904
230.0,650.0,70.0,40.0,50.0,118.79196673999999,131.67088418516124,1.1084157270781563
230.0,650.0,70.0,50.0,50.0,118.79196673999999,133.72332281346854,1.125693314819417
240.0,600.0,70.0,30.0,50.0,121.01130191,133.25693740089778,1.1011941471384652
240.0,600.0,70.0,40.0,50.0,121.01130191,137.2393063436306,1.134103213315562
240.0,650.0,70.0,30.0,50.0,121.01130191,130.41884994447165,1.07774106951984
240.0,650.0,70.0,40.0,50.0,121.01130191,132.928733538347,1.0984819718509464
240.0,650.0,70.0,50.0,50.0,121.01130191,134.6485234450904,1.1126937841329303
240.0,650.0,70.0,60.0,50.0,121.01130191,135.46510678978134,1.1194417765253952
250.0,600.0,70.0,30.0,50.0,121.35052579999999,133.17281869083718,1.0974226754511285
250.0,600.0,70.0,40.0,50.0,121.35052579999999,136.63151670721834,1.1259243897500966
250.0,600.0,70.0,50.0,50.0,121.35052579999999,139.59536805452865,1.1503482752485006
250.0,650.0,70.0,30.0,50.0,121.35052579999999,132.21698738857907,1.0895460610239818
250.0,650.0,70.0,40.0,50.0,121.35052579999999,134.49608454968046,1.1083271676246869
250.0,650.0,70.0,50.0,50.0,121.35052579999999,135.94824775431186,1.1202938500519615
250.0,650.0,70.0,60.0,50.0,121.35052579999999,136.53533236406352,1.1251317739577815
250.0,800.0,70.0,30.0,50.0,112.8016235,115.40005146615435,1.0230353773778296
250.0,800.0,70.0,40.0,50.0,112.8016235,115.3513513644789,1.0226036451016052
250.0,800.0,70.0,50.0,50.0,112.8016235,113.84145884308091,1.0092182657555537
250.0,850.0,70.0,30.0,50.0,104.24162350000002,108.36262473786552,1.039533164387693
250.0,850.0,70.0,40.0,50.0,104.24162350000002,108.3025659432333,1.0389570145483515
250.0,850.0,70.0,50.0,50.0,104.24162350000002,106.8088594951379,1.0246277437835365
260.0,600.0,70.0,30.0,50.0,120.45542461999999,133.0893078552518,1.104884302845703
260.0,600.0,70.0,40.0,50.0,120.45542461999999,136.06479880168777,1.1295863115416394
260.0,600.0,70.0,50.0,50.0,120.45542461999999,138.51722927891547,1.1499459631303026
260.0,650.0,70.0,30.0,50.0,120.45542461999999,134.39345494933332,1.1157111053595432
260.0,650.0,70.0,40.0,50.0,120.45542461999999,136.54182267415126,1.1335464808239142
260.0,650.0,70.0,50.0,50.0,120.45542461999999,137.88255020864642,1.144676967796375
260.0,650.0,70.0,60.0,50.0,120.45542461999999,138.36457298142574,1.1486786370802613
260.0,700.0,70.0,30.0,50.0,122.02718114,125.135314937209,1.0254708317292283
260.0,700.0,70.0,40.0,50.0,122.02718114,124.55379661681046,1.0207053498507985
260.0,700.0,70.0,50.0,50.0,122.02718114,122.57285125158079,1.0044717095526017
260.0,750.0,70.0,30.0,50.0,115.12410367,122.64668581846121,1.0653432418464206
260.0,750.0,70.0,40.0,50.0,115.12410367,121.98004179007097,1.059552586309148
260.0,750.0,70.0,50.0,50.0,115.12410367,119.81925385048028,1.040783380984566
260.0,800.0,70.0,30.0,50.0,113.67362776,123.93822226757565,1.0902988204902493
260.0,800.0,70.0,40.0,50.0,113.67362776,124.70964377850422,1.0970851043991017
260.0,800.0,70.0,50.0,50.0,113.67362776,124.00729129092997,1.0909064286462953
260.0,850.0,70.0,30.0,50.0,104.24162350000002,114.49871056826579,1.0983972306251137
260.0,850.0,70.0,40.0,50.0,104.24162350000002,114.85263782893935,1.1017924891484383
260.0,850.0,70.0,50.0,50.0,104.24162350000002,113.8041202886954,1.0917339587357384
270.0,600.0,70.0,30.0,50.0,120.45542461999999,133.19693340625014,1.1057777914647324
270.0,600.0,70.0,40.0,50.0,120.45542461999999,135.7565499252658,1.1270272829433476
270.0,600.0,70.0,50.0,50.0,120.45542461999999,137.79013209735848,1.143909728698763
270.0,600.0,70.0,60.0,50.0,120.45542461999999,139.23946518657885,1.155941840110869
270.0,650.0,70.0,30.0,50.0,120.45542461999999,137.09682761379,1.1381540353727408
270.0,650.0,70.0,40.0,50.0,120.45542461999999,139.23230439085788,1.1558823924293422
270.0,700.0,70.0,30.0,50.0,122.02718114,131.5172391544386,1.0777700339037646
270.0,700.0,70.0,40.0,50.0,122.02718114,131.49369058083246,1.0775770558034252
270.0,700.0,70.0,50.0,50.0,122.02718114,130.15938262144675,1.0666425414852188
270.0,700.0,70.0,60.0,50.0,122.02718114,127.48294635621951,1.044709425926673
270.0,750.0,70.0,30.0,50.0,115.12410367,131.72715317349994,1.1442187081090518
270.0,750.0,70.0,40.0,50.0,115.12410367,131.98933891719017,1.1464961264370308
270.0,750.0,70.0,50.0,50.0,115.12410367,130.82447849311592,1.1363778246484386
270.0,800.0,70.0,30.0,50.0,113.67362776,133.33613235061375,1.1729733182451725
270.0,800.0,70.0,40.0,50.0,113.67362776,135.1887636036748,1.1892711288241795
270.0,800.0,70.0,50.0,50.0,113.67362776,135.72913490752939,1.1940248374415863
270.0,850.0,70.0,30.0,50.0,104.24162350000002,121.30649963204687,1.163705011099015
270.0,850.0,70.0,40.0,50.0,104.24162350000002,122.31793139167286,1.1734077740229443
270.0,850.0,70.0,50.0,50.0,104.24162350000002,122.00744730086086,1.170429270039725
280.0,600.0,70.0,30.0,50.0,120.45542461999999,133.67853055452025,1.1097759272879169
280.0,600.0,70.0,40.0,50.0,120.45542461999999,135.90594719066908,1.1282675530754283
280.0,600.0,70.0,50.0,50.0,120.45542461999999,137.60259006080773,1.1423527873061907
280.0,600.0,70.0,60.0,50.0,120.45542461999999,138.73721913789012,1.1517722807051953
280.0,700.0,70.0,30.0,50.0,122.02718114,138.70691853752794,1.1366887052679806
280.0,700.0,70.0,40.0,50.0,122.02718114,139.42228775370913,1.142551081252561
280.0,700.0,70.0,50.0,50.0,122.02718114,138.95294491410647,1.1387048657191203
280.0,700.0,70.0,60.0,50.0,122.02718114,137.26473068584684,1.124870126503742
280.0,900.0,70.0,30.0,50.0,99.1216235,107.829980375828,1.087855268793373
280.0,900.0,70.0,40.0,50.0,99.1216235,108.61902803479586,1.0958156676559667
290.0,600.0,70.0,30.0,50.0,134.11132095000002,134.63554866149605,1.0039088997691066
290.0,600.0,70.0,40.0,50.0,134.11132095000002,136.63883889768664,1.0188464175118292
290.0,600.0,70.0,50.0,50.0,134.11132095000002,138.09900217921273,1.029734113428794
290.0,600.0,70.0,60.0,50.0,134.11132095000002,139.02036172031075,1.0366042235326347
290.0,900.0,70.0,30.0,50.0,103.03259582999999,112.4394904985228,1.0913001811974516
290.0,900.0,70.0,40.0,50.0,103.03259582999999,113.66214086158224,1.1031668177041818
290.0,900.0,70.0,50.0,50.0,103.03259582999999,114.03638688919536,1.1067991247871811
300.0,600.0,70.0,30.0,50.0,135.90716602,136.1267767667188,1.0016158879119477
300.0,600.0,70.0,40.0,50.0,135.90716602,138.00799052446027,1.015457790534394
300.0,600.0,70.0,50.0,50.0,135.90716602,139.35091667661712,1.0253389924715988
300.0,900.0,70.0,30.0,50.0,110.32194466000001,117.23130727320292,1.0626290864840788
300.0,900.0,70.0,40.0,50.0,110.32194466000001,118.94728044542265,1.0781833189398986
300.0,900.0,70.0,50.0,50.0,110.32194466000001,119.90005548655944,1.0868196337190945
