Laser Power [W],Scanning Speed [mm/s],Layer Thickness [um],Spot Size [um],Porosity [%],Max Melt Pool Width [um]
50.0,700.0,70.0,100,39.0,160.0
219.0,975.0,60.0,105,40.91,141.5139161
210.0,400.0,30.0,100,40.5,118.4946127
195.0,1050.0,30.0,100,50.0,45.25
50.0,1050.0,30.0,105,50.0,143.64
164.0,1050.0,133.5213867,100,39.0,225.0
300.0,1130.0,30.0,100,50.0,114.0
100.0,950.0,30.0,100,50.0,150.0
179.0,875.0,30.0,95,50.0,122.6
400.0,1200.0,215.0,105,50.0,112.5
258.0,1150.0,30.0,100,50.0,47.6
150.0,200.0,30.0,100,50.0,262.8748567
200.0,1200.0,60.0,105,0.0,216.81
195.0,605.0,30.0,100,50.0,45.65
195.0,875.0,120.0,80,50.0,45.3
211.0,1135.0,118.56567,105,50.0,118.4946127
250.0,685.0,30.0,105,0.0,141.5139161
208.0,695.0,30.0,95,50.0,135.4174621
50.0,750.0,250.0,105,40.91,110.0
416.0,900.0,60.0,100,50.0,216.81
50.0,1000.0,30.0,100,50.0,138.8
200.0,825.0,30.0,100,0.0,137.7970872
223.0,990.0,60.0,105,39.0,110.45
240.0,965.0,30.0,100,50.0,225.0
195.0,1000.0,30.0,100,50.0,94.42
195.0,1075.0,70.0,100,40.5,157.28
247.0,1150.0,70.0,100,50.0,149.8
248.0,1110.0,60.0,105,39.0,209.7634967
241.0,1200.0,30.0,105,50.0,109.75
150.0,1200.0,30.0,100,50.0,150.0
208.0,1175.0,30.0,100,50.0,160.0
215.0,800.0,30.0,100,50.0,109.8
195.0,1065.0,70.0,100,0.0,170.0
219.0,100.0,60.0,100,50.0,48.86
233.0,100.0,70.0,100,57.6,140.9682792
100.0,1005.0,120.0,100,39.0,102.8
150.0,800.0,30.0,95,50.0,87.42
200.0,750.0,30.0,58,50.0,216.81
257.0,900.0,30.0,105,0.0,126.0
208.0,750.0,60.0,105,40.5,92.38
416.0,1013.1,30.0,58,40.5,136.4431255
150.0,1500.0,30.0,100,0.0,47.66
150.0,1150.0,30.0,100,57.6,164.2
195.0,800.0,30.0,105,39.0,81.38852375
195.0,1050.0,120.0,100,50.0,45.6
195.0,700.0,30.0,100,50.0,95.7
416.0,950.0,120.0,105,50.0,131.8
221.0,1200.0,60.0,100,0.0,109.575
350.0,875.0,148.1196,105,0.0,221.475
50.0,900.0,30.0,95,39.0,81.9
50.0,880.0,60.0,105,50.0,140.1832509
50.0,750.0,30.0,105,50.0,94.42
200.0,1013.1,120.0,80,50.0,120.115
400.0,800.0,30.0,100,39.0,140.1323234
203.0,800.0,30.0,100,39.0,84.2
100.0,900.0,250.0,100,39.0,45.15
255.0,925.0,60.0,100,0.0,110.4
400.0,950.0,30.0,100,50.0,114.0
257.0,1165.0,60.0,100,50.0,167.0386133
100.0,545.0,30.0,100,50.0,112.5
150.0,1100.0,30.0,105,40.5,73.35
100.0,815.0,60.0,100,39.0,110.0
195.0,750.0,30.0,100,40.5,45.75
210.0,800.0,30.0,100,40.5,50.0
