X,Z
-40.0,0.3635
-39.975,0.36
-39.95,0.3595
-39.925,0.3635
-39.9,0.365
-39.875,0.3665
-39.85,0.3655
-39.825,0.36
-39.8,0.3615
-39.775,0.3585
-39.75,0.358
-39.725,0.358
-39.7,0.355
-39.675,0.356
-39.65,0.3555
-39.625,0.3555
-39.6,0.3555
-39.575,0.3525
-39.55,0.3535
-39.525,0.354
-39.5,0.353
-39.475,0.352
-39.45,0.353
-39.425,0.351
-39.4,0.3505
-39.375,0.35
-39.35,0.35
-39.325,0.351
-39.3,0.349
-39.275,0.3495
-39.25,0.351
-39.225,0.35
-39.2,0.351
-39.175,0.3495
-39.15,0.3485
-39.125,0.348
-39.1,0.346
-39.075,0.3455
-39.05,0.344
-39.025,0.343
-39.0,0.343
-38.975,0.3435
-38.95,0.341
-38.925,0.3405
-38.9,0.34
-38.875,0.3375
-38.85,0.337
-38.825,0.3355
-38.8,0.3345
-38.775,0.3335
-38.75,0.332
-38.725,0.331
-38.7,0.3305
-38.675,0.3295
-38.65,0.3285
-38.625,0.3275
-38.6,0.3265
-38.575,0.3255
-38.55,0.3245
-38.525,0.3235
-38.5,0.322
-38.475,0.3215
-38.45,0.32
-38.425,0.319
-38.4,0.318
-38.375,0.317
-38.35,0.316
-38.325,0.315
-38.3,0.314
-38.275,0.313
-38.25,0.312
-38.225,0.314
-38.2,0.3135
-38.175,0.3125
-38.15,0.312
-38.125,0.312
-38.1,0.31
-38.075,0.313
-38.05,0.3145
-38.025,0.3125
-38.0,0.3155
-37.975,0.315
-37.95,0.314
-37.925,0.313
-37.9,0.312
-37.875,0.312
-37.85,0.3105
-37.825,0.3095
-37.8,0.3085
-37.775,0.307
-37.75,0.3065
-37.725,0.305
-37.7,0.304
-37.675,0.303
-37.65,0.3015
-37.625,0.301
-37.6,0.2995
-37.575,0.299
-37.55,0.298
-37.525,0.2965
-37.5,0.296
-37.475,0.2945
-37.45,0.295
-37.425,0.2955
-37.4,0.2915
-37.375,0.2935
-37.35,0.2925
-37.325,0.292
-37.3,0.292
-37.275,0.29
-37.25,0.291
-37.225,0.2895
-37.2,0.2895
-37.175,0.29
-37.15,0.286
-37.125,0.2875
-37.1,0.286
-37.075,0.2845
-37.05,0.285
-37.025,0.2815
-37.0,0.2825
-36.975,0.2805
-36.95,0.28
-36.925,0.281
-36.9,0.2775
-36.875,0.2785
-36.85,0.277
-36.825,0.275
-36.8,0.275
-36.775,0.273
-36.75,0.2725
-36.725,0.2715
-36.7,0.27
-36.675,0.2695
-36.65,0.2675
-36.625,0.2675
-36.6,0.2675
-36.575,0.267
-36.55,0.266
-36.525,0.268
-36.5,0.265
-36.475,0.2645
-36.45,0.2645
-36.425,0.2615
-36.4,0.264
-36.375,0.261
-36.35,0.2605
-36.325,0.2605
-36.3,0.257
-36.275,0.259
-36.25,0.2585
-36.225,0.2575
-36.2,0.2565
-36.175,0.256
-36.15,0.2555
-36.125,0.2545
-36.1,0.2545
-36.075,0.254
-36.05,0.2515
-36.025,0.259
-36.0,0.26
-35.975,0.259
-35.95,0.2585
-35.925,0.256
-35.9,0.256
-35.875,0.2545
-35.85,0.2535
-35.825,0.2535
-35.8,0.252
-35.775,0.2515
-35.75,0.2495
-35.725,0.248
-35.7,0.248
-35.675,0.247
-35.65,0.247
-35.625,0.2455
-35.6,0.2445
-35.575,0.244
-35.55,0.242
-35.525,0.242
-35.5,0.2405
-35.475,0.2395
-35.45,0.2385
-35.425,0.2365
-35.4,0.2355
-35.375,0.2345
-35.35,0.2345
-35.325,0.2345
-35.3,0.2315
-35.275,0.2325
-35.25,0.2305
-35.225,0.2295
-35.2,0.23
-35.175,0.2265
-35.15,0.23
-35.125,0.228
-35.1,0.227
-35.075,0.227
-35.05,0.224
-35.025,0.223
-35.0,0.2215
-34.975,0.2215
-34.95,0.222
-34.925,0.2185
-34.9,0.22
-34.875,0.2205
-34.85,0.22
-34.825,0.218
-34.8,0.2185
-34.775,0.2165
-34.75,0.216
-34.725,0.215
-34.7,0.2135
-34.675,0.213
-34.65,0.212
-34.625,0.211
-34.6,0.21
-34.575,0.209
-34.55,0.208
-34.525,0.207
-34.5,0.206
-34.475,0.206
-34.45,0.2075
-34.425,0.2095
-34.4,0.2105
-34.375,0.2095
-34.35,0.208
-34.325,0.2065
-34.3,0.2065
-34.275,0.21
-34.25,0.2105
-34.225,0.21
-34.2,0.2095
-34.175,0.207
-34.15,0.2075
-34.125,0.206
-34.1,0.2045
-34.075,0.2045
-34.05,0.2035
-34.025,0.2025
-34.0,0.2005
-33.975,0.1995
-33.95,0.1995
-33.925,0.197
-33.9,0.1975
-33.875,0.196
-33.85,0.195
-33.825,0.1945
-33.8,0.1925
-33.775,0.193
