kn,mpa
1.524316895,123.4171568
1.617542204,126.13609
1.714771053,129.555311
1.80828233,132.3319273
1.903509409,135.3105647
2.040773668,139.2053445
2.135142845,140.8074192
2.226080417,142.3319742
2.323881201,143.9082089
2.418250379,145.8109663
2.502814967,147.1935695
1.464968153,121.5227818
1.474522293,121.9064748
1.484076433,122.0983213
1.493630573,122.2901679
1.506369427,122.6738609
1.512738854,122.6738609
1.51910828,123.2494005
1.52866242,123.82494
1.535031847,124.0167866
1.547770701,124.2086331
1.560509554,124.7841727
1.582802548,125.1678657
1.592356688,125.5515588
1.605095541,125.9352518
1.617834395,126.5107914
1.630573248,126.8944844
1.640127389,127.2781775
1.649681529,127.6618705
1.659235669,128.0455635
1.681528662,128.4292566
1.694267516,129.1966427
1.710191083,129.5803357
1.691082803,129.1966427
1.684713376,128.6211031
1.675159236,128.2374101
1.659235669,127.853717
1.72611465,129.9640288
1.73566879,130.3477218
1.742038217,130.3477218
1.748407643,130.7314149
1.75477707,131.1151079
1.76433121,131.3069544
1.770700637,131.882494
1.77388535,131.882494
1.777070064,131.882494
1.786624204,132.2661871
1.789808917,132.6498801
1.799363057,132.6498801
1.802547771,132.8417266
1.812101911,132.6498801
1.821656051,132.8417266
1.821656051,132.8417266
1.828025478,133.2254197
1.834394904,133.2254197
1.843949045,133.6091127
1.853503185,133.9928058
1.863057325,134.3764988
1.882165605,134.7601918
1.882165605,134.7601918
1.866242038,134.3764988
1.885350318,134.7601918
1.901273885,135.3357314
1.914012739,135.911271
1.926751592,136.1031175
1.939490446,136.4868106
1.952229299,136.8705036
1.958598726,137.4460432
1.97133758,137.8297362
1.977707006,138.0215827
1.987261146,138.5971223
1.993630573,138.5971223
2.006369427,138.5971223
2.012738854,138.5971223
2.02866242,138.5971223
2.038216561,138.9808153
2.050955414,139.3645084
2.050955414,139.3645084
2.050955414,139.3645084
2.066878981,139.7482014
2.082802548,139.940048
2.089171975,139.940048
2.098726115,140.1318945
2.101910828,140.1318945
2.111464968,140.7074341
2.108280255,140.323741
2.124203822,140.7074341
2.133757962,140.7074341
2.152866242,141.0911271
2.159235669,141.2829736
2.168789809,141.4748201
2.187898089,141.6666667
2.197452229,141.8585132
2.207006369,142.2422062
2.222929936,142.6258993
2.23566879,142.6258993
2.242038217,142.6258993
2.25477707,143.2014388
2.251592357,142.6258993
2.261146497,143.2014388
2.27388535,143.2014388
2.286624204,143.7769784
2.296178344,143.9688249
2.302547771,143.9688249
2.312101911,144.1606715
2.321656051,144.1606715
2.328025478,144.1606715
2.331210191,144.352518
2.334394904,144.5443645
2.337579618,144.5443645
2.350318471,144.736211
2.343949045,144.5443645
2.363057325,144.9280576
2.382165605,145.5035971
2.366242038,145.1199041
2.350318471,144.5443645
2.382165605,145.1199041
2.401273885,145.6954436
2.423566879,146.0791367
2.439490446,146.2709832
2.461783439,146.6546763
2.484076433,147.0383693
2.458598726,146.6546763
2.474522293,147.0383693
2.449044586,145.8872902
2.417197452,145.6954436
2.391719745,145.3117506
2.47133758,146.6546763
2.51910828,147.0383693
2.515923567,147.2302158
2.522292994,147.4220624
2.52866242,147.4220624
