x val,z val
-40.0,-0.296
-39.975,-0.288
-39.95,-0.288
-39.925,-0.288
-39.9,-0.288
-39.875,-0.288
-39.85,-0.288
-39.825,-0.292
-39.8,-0.292
-39.775,-0.292
-39.75,-0.292
-39.725,-0.292
-39.7,-0.296
-39.675,-0.296
-39.65,-0.296
-39.625,-0.296
-39.6,-0.3
-39.575,-0.3
-39.55,-0.3
-39.525,-0.3
-39.5,-0.3
-39.475,-0.304
-39.45,-0.304
-39.425,-0.304
-39.4,-0.304
-39.375,-0.304
-39.35,-0.308
-39.325,-0.308
-39.3,-0.308
-39.275,-0.308
-39.25,-0.308
-39.225,-0.312
-39.2,-0.312
-39.175,-0.312
-39.15,-0.312
-39.125,-0.316
-39.1,-0.316
-39.075,-0.316
-39.05,-0.316
-39.025,-0.316
-39.0,-0.32
-38.975,-0.32
-38.95,-0.32
-38.925,-0.32
-38.9,-0.32
-38.875,-0.324
-38.85,-0.324
-38.825,-0.324
-38.8,-0.324
-38.775,-0.324
-38.75,-0.328
-38.725,-0.328
-38.7,-0.332
-38.675,-0.376
-38.65,-0.344
-38.625,-0.36
-38.6,-0.364
-38.575,-0.336
-38.55,-0.38
-38.525,-0.348
-38.5,-0.328
-38.475,-0.32
-38.45,-0.324
-38.425,-0.288
-38.4,-0.256
-38.375,-0.26
-38.35,-0.252
-38.325,-0.256
-38.3,-0.264
-38.275,-0.264
-38.25,-0.284
-38.225,-0.28
-38.2,-0.296
-38.175,-0.296
-38.15,-0.284
-38.125,-0.288
-38.1,-0.288
-38.075,-0.288
-38.05,-0.292
-38.025,-0.288
-38.0,-0.296
-37.975,-0.292
-37.95,-0.308
-37.925,
-37.9,
-37.875,
-37.85,
-37.825,
-37.8,
-37.775,
-37.75,
-37.725,
-37.7,
-37.675,
-37.65,
-37.625,
-37.6,
-37.575,
-37.55,
-37.525,
-37.5,
-37.475,
-37.45,
-37.425,
-37.4,
-37.375,
-37.35,
-37.325,
-37.3,
-37.275,
-37.25,
-37.225,
-37.2,
-37.175,
-37.15,
-37.125,
-37.1,
-37.075,
-37.05,
-37.025,
-37.0,
-36.975,
-36.95,
-36.925,
-36.9,
-36.875,
-36.85,
-36.825,
-36.8,
-36.775,
-36.75,
-36.725,
-36.7,
-36.675,
-36.65,
-36.625,
-36.6,
-36.575,
-36.55,
-36.525,
-36.5,
-36.475,
-36.45,
-36.425,
-36.4,
-36.375,
-36.35,
-36.325,
-36.3,
-36.275,
-36.25,
-36.225,
-36.2,
-36.175,
-36.15,
-36.125,
-36.1,
