quality_score,predicted_quality_score
120.0,180.55
140.81,150.25
139.37,153.5
137.5,157.73
138.635,155.17
138.6776316,155.07
138.4,155.7
193.0,184.32
306.16,172.83
147.19,135.72
142.64,146.09
308.16,184.6
138.225,156.09
137.775,157.1
185.0,194.61
139.36,153.52
139.145,154.01
345.98,182.09
138.3666268,155.79
142.66,146.04
105.33,180.06
137.325,158.16
139.0197368,154.27
282.06,179.26
135.0,169.04
138.825,154.75
254.97,169.35
172.0,193.71
198.0,200.68
161.0,164.8
186.0,184.12
269.98,181.13
145.89,138.7
155.0,187.5
192.0,171.33
288.48,183.96
143.5,178.94
137.875,156.9
136.1,160.93
138.0,184.86
141.67,148.28
269.99,169.68
142.65,146.06
138.835,154.73
274.56,174.69
137.45,157.86
147.42,135.21
300.61,162.92
139.375,153.49
139.615,152.95
138.6,155.27
133.33,167.2
138.285,155.94
139.53,153.16
115.3,178.94
138.265,155.99
139.5328947,153.15
299.01,163.24
257.92,171.54
140.76,150.33
102.16,177.33
142.33,146.79
142.24,146.96
165.0,175.38
137.9623206,156.69
193.0,181.51
