Model,R-squared,MAE,MSE,RMSE,RAE,RRSE
Gaussian Process,-84.2695247255935,0.07978827844563989,0.43141746793317204,0.6568237723569177,1.7558760904976298,7.936398422560738
Linear Regression,0.6316226389132241,0.02840016632218286,0.0026847902685999524,0.05181496182185173,0.6249937206660201,0.626079929769244
Polynomial Regression,-1.2186122206216672,0.019717856196706622,0.008744315658522564,0.09351104564981916,0.43392479354289976,1.1298935063269162
Support Vector Regression,0.3566195795487507,0.053336855105749724,0.0038920666310091347,0.06238642986266432,1.173767756956036,0.7538149262998893
KNN,0.7330953176373518,0.010598847231084337,0.0017712228357757323,0.04208589830068656,0.23324556943006672,0.5085237029212143
Multi Layer Perception,0.5735211013915856,0.024521496913733128,0.0031936732039252887,0.05651259332153576,0.539637036577624,0.6828413881587324
Random Forest,0.7990567690274836,0.00873681736158996,0.0012027344714052968,0.034680462387420626,0.19226845109475735,0.41904385707227093
Gradient Boosting,0.8995592599858446,0.008457061447757628,0.0006940964129809734,0.02634570957444444,0.18611194878836687,0.3183350796783353
AdaBoost,0.5164598819459306,0.036375820964570996,0.002713515577221065,0.052091415580890726,0.8005114980319888,0.629420319184924
Bagging,0.7894349976203394,0.009269754063504016,0.001292233134048438,0.035947644346305055,0.20399662509311098,0.43435521047152476
Extra Trees,0.8777455518322697,0.007056570194704818,0.0007848434731487542,0.028015057971540133,0.15529176875575867,0.33850580817964065
