Tool Rotational Speed (RPM),Translational Speed (mm/min),Axial Force (KN),Ultimate Tensile Trength (MPa)
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
1,1,1,133.393
1,1,2,134.70499999999998
1,1,3,316.445
1,1,4,316.445
1,2,1,133.393
1,2,2,134.70499999999998
1,2,3,316.445
1,2,4,316.445
1,3,1,133.393
1,3,2,134.70499999999998
1,3,3,316.445
1,3,4,316.445
1,4,1,133.393
1,4,2,134.70499999999998
1,4,3,316.445
1,4,4,316.445
2,1,1,133.393
2,1,2,134.70499999999998
2,1,3,316.445
2,1,4,316.445
2,2,1,133.393
2,2,2,134.70499999999998
2,2,3,316.445
2,2,4,316.445
2,3,1,133.393
2,3,2,134.70499999999998
2,3,3,316.445
2,3,4,316.445
2,4,1,133.393
2,4,2,134.70499999999998
2,4,3,316.445
2,4,4,316.445
3,1,1,133.393
3,1,2,134.70499999999998
3,1,3,316.445
3,1,4,316.445
3,2,1,133.393
3,2,2,134.70499999999998
3,2,3,316.445
3,2,4,316.445
3,3,1,133.393
3,3,2,134.70499999999998
3,3,3,316.445
3,3,4,316.445
3,4,1,133.393
3,4,2,134.70499999999998
3,4,3,316.445
3,4,4,316.445
4,1,1,133.393
4,1,2,134.70499999999998
4,1,3,316.445
4,1,4,316.445
4,2,1,133.393
4,2,2,134.70499999999998
4,2,3,316.445
4,2,4,316.445
4,3,1,133.393
4,3,2,134.70499999999998
4,3,3,316.445
4,3,4,316.445
4,4,1,133.393
4,4,2,134.70499999999998
4,4,3,316.445
4,4,4,316.445
